player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_sca_sca,header_sca_sca_per90,header_sca_types_sca_passes_live,header_sca_types_sca_passes_dead,header_sca_types_sca_dribbles,header_sca_types_sca_shots,header_sca_types_sca_fouled,header_gca_gca,header_gca_gca_per90,header_gca_types_gca_passes_live,header_gca_types_gca_passes_dead,header_gca_types_gca_dribbles,header_gca_types_gca_shots,header_gca_types_gca_fouled,header_gca_types_gca_og_for,matches
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,9,1.51,9,0,0,0,0,2,0.34,2,0,0,0,0,0,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,21,1.47,17,3,0,0,1,4,0.28,4,0,0,0,0,0,Matches
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,2,1.29,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,35,1.53,27,0,3,3,2,10,0.44,6,0,1,1,2,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,10,0.39,9,1,0,0,0,3,0.12,3,0,0,0,0,0,Matches
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,4,3.64,3,0,1,0,0,1,0.91,1,0,0,0,0,0,Matches
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,13,0.47,7,0,1,4,1,2,0.07,1,0,0,1,0,0,Matches
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,14,2.32,9,0,2,2,1,3,0.50,1,0,1,1,0,0,Matches
Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,4,0.32,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,38,1.37,33,2,1,2,0,2,0.07,1,1,0,0,0,0,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,26,1.67,23,1,1,0,1,3,0.19,3,0,0,0,0,0,Matches
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,30,2.30,21,0,2,7,0,3,0.23,1,0,0,2,0,0,Matches
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,45,1.85,44,1,0,0,0,5,0.21,5,0,0,0,0,0,Matches
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,32.6,185,5.68,124,33,14,11,2,28,0.86,22,2,0,2,1,1,Matches
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,16,0.44,16,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,26,2.70,22,2,1,1,0,5,0.52,5,0,0,0,0,0,Matches
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,16,1.56,14,0,0,1,1,3,0.29,2,0,0,0,1,0,Matches
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,14,2.38,10,1,2,0,1,3,0.51,2,1,0,0,0,0,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,56,2.85,44,5,3,3,1,8,0.41,6,0,2,0,0,0,Matches
