player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_sca_sca,header_sca_sca_per90,header_sca_types_sca_passes_live,header_sca_types_sca_passes_dead,header_sca_types_sca_dribbles,header_sca_types_sca_shots,header_sca_types_sca_fouled,header_gca_gca,header_gca_gca_per90,header_gca_types_gca_passes_live,header_gca_types_gca_passes_dead,header_gca_types_gca_dribbles,header_gca_types_gca_shots,header_gca_types_gca_fouled,header_gca_types_gca_og_for,matches
Rober Correa,es ESP,DF,Eibar,es La Liga,26,1992,10.3,16,1.55,11,1,1,1,2,0,0.00,0,0,0,0,0,0,Matches
Thierry Correia,pt POR,DF,Valencia,es La Liga,20,1999,2.9,4,1.39,2,2,0,0,0,1,0.35,0,1,0,0,0,0,Matches
Antonio Cortés,es ESP,"FW,MF",Granada,es La Liga,19,2000,2.0,5,2.49,4,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,35,1983,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Danny da Costa,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,26,1993,15.4,39,2.53,31,2,4,1,1,10,0.65,7,1,2,0,0,0,Matches
Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,30,1988,15.0,28,1.87,19,0,2,4,3,5,0.33,4,0,0,1,0,0,Matches
Douglas Costa,br BRA,"FW,MF",Juventus,it Serie A,28,1990,8.9,51,5.72,39,6,5,0,1,6,0.67,5,0,1,0,0,0,Matches
Jaume Costa,es ESP,DF,Valencia,es La Liga,31,1988,15.4,18,1.17,15,1,0,0,2,0,0.00,0,0,0,0,0,0,Matches
Nuno da Costa,cv CPV,"FW,MF",Strasbourg,fr Ligue 1,28,1991,5.9,14,2.39,11,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
David Costas,es ESP,DF,Celta Vigo,es La Liga,24,1995,3.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,18.0,27,1.50,24,0,2,1,0,1,0.06,1,0,0,0,0,0,Matches
Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,7.4,3,0.41,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yoann Court,fr FRA,"FW,MF",Brest,fr Ligue 1,29,1990,16.3,36,2.21,25,6,1,2,2,7,0.43,4,2,0,1,0,0,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34.0,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,de Bundesliga,27,1992,15.7,78,4.98,63,6,5,1,3,12,0.77,10,0,1,0,1,0,Matches
Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,6.2,3,0.49,1,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,14.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,30.3,46,1.52,33,6,2,1,4,2,0.07,1,0,1,0,0,0,Matches
Domenico Criscito,it ITA,DF,Genoa,it Serie A,32,1986,22.1,32,1.45,25,6,0,0,1,1,0.05,1,0,0,0,0,0,Matches
Bryan Cristante,it ITA,MF,Roma,it Serie A,24,1995,16.6,40,2.42,33,1,1,3,2,4,0.24,4,0,0,0,0,0,Matches
Sebastián Cristóforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1.0,5,5.00,2,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sebastián Cristóforo,uy URU,MF,Eibar,es La Liga,25,1993,9.7,14,1.44,9,1,1,1,2,0,0.00,0,0,0,0,0,0,Matches
Juan Cuadrado,co COL,"DF,FW",Juventus,it Serie A,31,1988,28.5,96,3.37,84,2,3,1,6,10,0.35,9,0,0,0,1,0,Matches
Cucho,co COL,"FW,MF",Mallorca,es La Liga,20,1999,16.5,42,2.54,25,0,10,2,5,6,0.36,2,0,2,1,1,0,Matches
Marc Cucurella,es ESP,"MF,DF",Getafe,es La Liga,21,1998,36.0,89,2.47,71,6,2,2,8,8,0.22,7,0,0,0,1,0,Matches
Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27.0,3,0.11,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jaume Cuéllar,bo BOL,MF,SPAL,it Serie A,17,2001,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,19,1999,3.4,14,4.10,11,1,1,0,1,3,0.88,2,0,0,0,1,0,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,20,1999,8.3,28,3.39,16,0,6,3,2,4,0.48,1,0,1,0,1,1,Matches
Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,20,1999,3.1,13,4.19,7,0,0,3,3,1,0.32,0,0,0,1,0,0,Matches
Felipe Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,8.3,16,1.93,10,0,0,3,3,3,0.36,2,0,0,0,1,0,Matches
Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,2,0.61,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,67,3.40,32,29,0,5,1,10,0.51,4,5,0,1,0,0,Matches
Rafael Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,15,0.61,10,2,0,3,0,3,0.12,1,0,0,2,0,0,Matches
Lennart-Marten Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marco D'Alessandro,it ITA,"DF,MF",SPAL,it Serie A,28,1991,7.2,14,1.94,12,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,1988,13.7,16,1.17,12,1,1,1,1,0,0.00,0,0,0,0,0,0,Matches
Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2000,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,4,5.00,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,13,0.52,12,0,0,1,0,2,0.08,2,0,0,0,0,0,Matches
Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,10.5,22,2.10,19,1,0,1,1,4,0.38,3,0,0,1,0,0,Matches
Moanes Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,29,3.41,18,0,1,2,8,3,0.35,2,0,0,0,1,0,Matches
Moanes Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,1,3.46,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,9,1.21,6,1,2,0,0,1,0.13,1,0,0,0,0,0,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,6.2,15,2.42,12,0,1,2,0,3,0.48,3,0,0,0,0,0,Matches
Leon Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,1984,11.1,6,0.54,4,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,1.4,4,2.86,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Danilo,br BRA,DF,Juventus,it Serie A,28,1991,15.0,33,2.20,29,0,0,3,1,4,0.27,3,0,0,1,0,0,Matches
Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,14.1,7,0.50,6,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
Kevin Danso,at AUT,DF,Southampton,eng Premier League,20,1998,3.1,3,0.97,3,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21.0,15,0.71,13,0,0,2,0,1,0.05,0,0,0,1,0,0,Matches
Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sergi Darder,es ESP,"MF,FW",Espanyol,es La Liga,25,1993,29.5,63,2.13,47,8,4,4,0,4,0.14,4,0,0,0,0,0,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,25.1,81,3.23,57,16,1,3,3,7,0.28,6,0,0,0,0,1,Matches
Matteo Darmian,it ITA,DF,Parma,it Serie A,29,1989,27.8,37,1.33,26,6,1,1,3,3,0.11,3,0,0,0,0,0,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,24.8,62,2.50,54,0,4,0,4,8,0.32,7,0,1,0,0,0,Matches
Ben Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,15.9,17,1.07,15,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Tom Davies,eng ENG,MF,Everton,eng Premier League,21,1998,22.5,24,1.07,17,0,2,3,2,0,0.00,0,0,0,0,0,0,Matches
Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,6.1,20,3.28,11,0,1,4,4,3,0.49,1,0,0,1,1,0,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,7.7,5,0.65,3,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Craig Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,26.2,12,0.46,7,0,0,5,0,0,0.00,0,0,0,0,0,0,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,31.0,220,7.09,157,39,11,4,9,33,1.06,25,2,2,1,3,0,Matches
Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,32,1987,15.7,4,0.26,4,0,0,0,0,2,0.13,2,0,0,0,0,0,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,25,1994,29.4,124,4.22,88,22,6,3,5,14,0.48,6,3,2,2,1,0,Matches
Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,5.2,11,2.10,8,0,2,0,1,1,0.19,1,0,0,0,0,0,Matches
Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,31,1988,24.9,33,1.32,27,3,1,1,1,1,0.04,0,0,0,1,0,0,Matches
Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,14.8,27,1.82,24,0,1,1,1,2,0.13,2,0,0,0,0,0,Matches
Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,19.7,36,1.83,27,5,4,0,0,2,0.10,1,1,0,0,0,0,Matches
Troy Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,24.7,50,2.02,42,0,0,3,5,5,0.20,4,0,0,0,1,0,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,28,1991,10.9,24,2.20,17,0,3,1,3,6,0.55,4,0,1,1,0,0,Matches
Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alessandro Deiola,it ITA,MF,Lecce,it Serie A,23,1995,8.0,13,1.63,12,0,0,0,1,1,0.13,1,0,0,0,0,0,Matches
Romain Del Castillo,fr FRA,"FW,MF",Rennes,fr Ligue 1,23,1996,13.8,44,3.19,32,0,5,2,5,6,0.43,6,0,0,0,0,0,Matches
Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,27,1992,13.9,22,1.58,16,1,4,0,1,0,0.00,0,0,0,0,0,0,Matches
Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,1991,9.2,9,0.98,8,0,0,1,0,2,0.22,2,0,0,0,0,0,Matches
Paul Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,1.5,1,0.66,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cristian Dell'Orco,it ITA,DF,Lecce,it Serie A,25,1994,10.0,15,1.50,14,1,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,1991,25.3,80,3.16,48,3,9,8,11,10,0.39,3,0,2,2,2,1,Matches
Fabian Delph,eng ENG,MF,Everton,eng Premier League,29,1989,13.2,17,1.29,16,0,0,1,0,2,0.15,2,0,0,0,0,0,Matches
Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,23,1996,24.3,49,2.02,37,0,3,3,6,7,0.29,4,0,1,0,2,0,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,22,1997,4.0,18,4.54,10,2,5,0,1,2,0.50,1,0,1,0,0,0,Matches
Merih Demiral,tr TUR,DF,Juventus,it Serie A,21,1998,4.2,1,0.24,1,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,17.5,74,4.23,37,30,3,3,1,10,0.57,4,6,0,0,0,0,Matches
Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,13.5,32,2.38,31,1,0,0,0,2,0.15,2,0,0,0,0,0,Matches
Diego Demme,de GER,MF,Napoli,it Serie A,27,1991,8.9,18,2.03,17,0,0,0,1,1,0.11,1,0,0,0,0,0,Matches
Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,23.7,8,0.34,8,0,0,0,0,2,0.08,2,0,0,0,0,0,Matches
Leander Dendoncker,be BEL,"MF,DF",Wolves,eng Premier League,24,1995,31.1,19,0.61,18,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,2000,6.7,15,2.24,10,0,2,2,1,3,0.45,2,0,0,1,0,0,Matches
Stefano Denswil,nl NED,DF,Bologna,it Serie A,26,1993,22.9,24,1.05,19,1,0,1,3,2,0.09,2,0,0,0,0,0,Matches
Fabio Depaoli,it ITA,"MF,DF",Sampdoria,it Serie A,22,1997,19.1,48,2.51,34,4,3,5,2,3,0.16,1,0,0,0,2,0,Matches
Memphis Depay,nl NED,"FW,MF",Lyon,fr Ligue 1,25,1994,11.3,52,4.60,21,12,10,3,6,6,0.53,2,0,3,0,1,0,Matches
Kastriot Dermaku,al ALB,DF,Parma,it Serie A,27,1992,9.9,4,0.40,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Daniele Dessena,it ITA,MF,Brescia,it Serie A,32,1987,19.8,15,0.76,11,0,0,2,2,3,0.15,1,0,0,0,2,0,Matches
Mattia Destro,it ITA,FW,Bologna,it Serie A,28,1991,2.1,2,0.97,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mattia Destro,it ITA,"FW,MF",Genoa,it Serie A,28,1991,1.7,3,1.80,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Gerard Deulofeu,es ESP,FW,Watford,eng Premier League,25,1994,23.3,88,3.78,51,10,14,7,6,7,0.30,5,0,1,0,1,0,Matches
Deyverson,br BRA,FW,Getafe,es La Liga,28,1991,2.3,5,2.21,4,0,0,1,0,2,0.88,1,0,0,1,0,0,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,30,1988,13.0,17,1.30,12,0,0,3,2,2,0.15,1,0,0,0,1,0,Matches
Federico Di Francesco,it ITA,FW,SPAL,it Serie A,25,1994,11.7,36,3.07,22,3,3,2,6,2,0.17,1,0,0,0,1,0,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,25,1993,32.0,57,1.78,50,2,1,2,2,5,0.16,4,0,0,1,0,0,Matches
Ángel Di María,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,31,1988,22.2,136,6.12,98,22,9,4,2,25,1.13,17,4,2,1,0,1,Matches
Boulaye Dia,fr FRA,FW,Reims,fr Ligue 1,22,1996,20.1,42,2.09,31,0,5,2,4,5,0.25,3,0,1,0,1,0,Matches
Fousseni Diabaté,ml MLI,"FW,MF",Amiens,fr Ligue 1,23,1995,13.2,25,1.89,20,2,2,0,1,4,0.30,3,0,1,0,0,0,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,de Bundesliga,20,1999,19.7,67,3.40,48,2,12,2,3,10,0.51,7,0,2,0,1,0,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,es La Liga,22,1996,16.0,6,0.37,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,18,2001,15.2,7,0.46,6,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Abdou Diallo,fr FRA,DF,Paris S-G,fr Ligue 1,23,1996,13.3,10,0.75,7,1,0,2,0,1,0.07,1,0,0,0,0,0,Matches
Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,24,1995,24.4,55,2.25,35,0,11,5,4,8,0.33,4,0,3,1,0,0,Matches
Ibrahima Diallo,fr FRA,MF,Brest,fr Ligue 1,20,1999,17.3,17,0.98,16,0,1,0,0,3,0.17,3,0,0,0,0,0,Matches
Moussa Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18,2000,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Raphael Dias Belloli,br BRA,"MF,FW",Rennes,fr Ligue 1,23,1996,18.8,92,4.90,56,13,15,3,4,7,0.37,6,0,0,0,0,1,Matches
Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Amadou Diawara,gn GUI,MF,Roma,it Serie A,22,1997,15.9,31,1.95,29,0,0,1,1,2,0.13,2,0,0,0,0,0,Matches
Brahim Díaz,es ESP,"FW,MF",Real Madrid,es La Liga,19,1999,0.7,2,2.77,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Víctor Díaz,es ESP,DF,Granada,es La Liga,31,1988,32.0,46,1.44,33,11,0,1,0,9,0.28,5,2,0,1,0,1,Matches
Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,20.8,8,0.39,5,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Eric Dier,eng ENG,"DF,MF",Tottenham,eng Premier League,25,1994,14.9,10,0.67,9,0,0,1,0,1,0.07,1,0,0,0,0,0,Matches
Lucas Digne,fr FRA,DF,Everton,eng Premier League,26,1993,33.7,104,3.09,58,38,2,3,3,11,0.33,8,3,0,0,0,0,Matches
Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38.0,22,0.58,19,0,0,1,2,5,0.13,4,0,0,0,1,0,Matches
Mitchell Dijks,nl NED,DF,Bologna,it Serie A,26,1993,11.2,16,1.43,14,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Javairô Dilrosun,nl NED,"MF,FW",Hertha BSC,de Bundesliga,21,1998,14.5,25,1.72,14,3,6,0,2,4,0.28,2,0,2,0,0,0,Matches
Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,3.8,11,2.90,6,5,0,0,0,2,0.53,2,0,0,0,0,0,Matches
Federico Dimarco,it ITA,"DF,MF",Inter,it Serie A,21,1997,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,28,1991,9.9,26,2.62,23,1,0,1,1,2,0.20,2,0,0,0,0,0,Matches
Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,7.4,11,1.49,6,1,2,0,2,1,0.14,0,0,1,0,0,0,Matches
Issa Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,30.7,9,0.29,6,1,0,2,0,1,0.03,1,0,0,0,0,0,Matches
Papakouli Diop,sn SEN,MF,Eibar,es La Liga,33,1986,25.0,27,1.08,25,0,0,1,1,1,0.04,1,0,0,0,0,0,Matches
Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,1.3,2,1.50,2,0,0,0,0,1,0.75,1,0,0,0,0,0,Matches
Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27.0,17,0.63,16,1,0,0,0,1,0.04,0,1,0,0,0,0,Matches
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,19,2000,7.3,2,0.27,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Djené,tg TOG,DF,Getafe,es La Liga,27,1991,34.0,10,0.29,9,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Moussa Djenepo,ml MLI,"MF,DF",Southampton,eng Premier League,21,1998,10.3,39,3.78,19,0,11,1,8,6,0.58,3,0,2,0,1,0,Matches
Koffi Djidji,ci CIV,DF,Torino,it Serie A,26,1992,8.0,1,0.13,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alexander Djiku,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,24,1994,22.9,14,0.61,13,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,29.4,26,0.88,22,1,0,3,0,1,0.03,0,0,0,1,0,0,Matches
Naïs Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,1999,0.3,3,9.31,2,0,1,0,0,1,3.10,1,0,0,0,0,0,Matches
Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,27,1992,35.0,8,0.23,2,5,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Matt Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,31.5,64,2.03,48,1,6,7,2,15,0.48,7,0,3,4,1,0,Matches
Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,1997,21.0,26,1.24,14,0,3,4,5,6,0.29,3,0,1,1,1,0,Matches
Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,1993,1.6,6,3.65,4,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,1,0.07,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,21,1998,6.9,18,2.62,17,0,1,0,0,1,0.15,1,0,0,0,0,0,Matches
Giulio Donati,it ITA,DF,Lecce,it Serie A,29,1990,17.6,35,1.99,28,2,1,2,2,5,0.28,2,1,0,1,1,0,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anastasios Donis,gr GRE,"FW,MF",Reims,fr Ligue 1,22,1996,6.8,12,1.77,5,1,4,2,0,0,0.00,0,0,0,0,0,0,Matches
Alfredo Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.6,42,2.26,30,0,4,2,6,5,0.27,4,0,0,0,1,0,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,33.6,1,0.03,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,14,0.60,11,1,0,1,1,1,0.04,1,0,0,0,0,0,Matches
Mathieu Dossevi,tg TOG,"MF,FW",Toulouse,fr Ligue 1,31,1988,19.5,73,3.75,41,24,6,1,1,4,0.21,4,0,0,0,0,0,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,41,2.50,33,0,2,3,3,6,0.37,4,0,1,1,0,0,Matches
Abdoulaye Doucouré,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,80,2.28,59,0,10,8,3,6,0.17,4,0,0,2,0,0,Matches
Mamadou Doucouré,fr FRA,MF,M'gladbach,de Bundesliga,21,1998,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Moussa Doumbia,ml MLI,"FW,MF",Reims,fr Ligue 1,24,1994,19.1,58,3.04,41,2,5,3,7,3,0.16,1,0,1,0,1,0,Matches
Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5.0,7,1.40,5,0,2,0,0,2,0.40,2,0,0,0,0,0,Matches
Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1.0,1,1.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Thomas Doyle,eng ENG,"MF,FW",Manchester City,eng Premier League,17,2001,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mohamed Dräger,tn TUN,DF,Paderborn 07,de Bundesliga,23,1996,16.2,26,1.61,18,4,1,2,1,5,0.31,4,0,0,1,0,0,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,28,1991,11.4,12,1.05,12,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,7,0.23,5,2,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Julian Draxler,de GER,MF,Paris S-G,fr Ligue 1,25,1993,7.6,21,2.76,15,2,2,1,0,8,1.05,4,1,1,1,0,1,Matches
Dominick Drexler,de GER,"MF,FW",Köln,de Bundesliga,29,1990,17.6,56,3.18,45,4,3,1,3,6,0.34,5,0,0,0,1,0,Matches
Danny Drinkwater,eng ENG,MF,Aston Villa,eng Premier League,29,1990,2.9,4,1.39,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Danny Drinkwater,eng ENG,MF,Burnley,eng Premier League,29,1990,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Josip Drmić,ch SUI,"FW,MF",Norwich City,eng Premier League,26,1992,7.2,11,1.53,7,0,1,2,1,1,0.14,0,0,1,0,0,0,Matches
Domingos Duarte,pt POR,DF,Granada,es La Liga,24,1995,34.3,5,0.15,4,1,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Léo Duarte,br BRA,DF,Milan,it Serie A,23,1996,4.4,1,0.23,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Óscar Duarte,cr CRC,DF,Levante,es La Liga,30,1989,5.4,4,0.74,3,0,0,1,0,1,0.19,1,0,0,0,0,0,Matches
Rubén Duarte,es ESP,DF,Alavés,es La Liga,23,1995,29.6,36,1.22,24,3,0,4,5,6,0.20,2,1,0,1,2,0,Matches
Edgaras Dubickas,lt LTU,DF,Lecce,it Serie A,21,1998,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,24,1994,15.0,24,1.60,21,1,1,0,1,1,0.07,1,0,0,0,0,0,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38.0,2,0.05,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
