player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_minutes,header_playing_minutes_per_game,header_playing_minutes_pct,header_playing_minutes_90s,header_playing_games_starts,header_starts_minutes_per_start,header_starts_games_subs,header_subs_minutes_per_sub,header_subs_unused_subs,header_subs_points_per_match,header_team_success_on_goals_for,header_team_success_on_goals_against,header_team_success_plus_minus,header_team_success_plus_minus_per90,header_team_success_plus_minus_wowy,header_team_success_on_xg_for,header_xg_team_success_on_xg_against,header_xg_team_success_xg_plus_minus,header_xg_team_success_xg_plus_minus_per90,header_xg_team_success_xg_plus_minus_wowy,header_xg_team_success_matches
Andrea Belotti,it ITA,FW,Torino,it Serie A,25,1993,34,"2,902",85,89.6,32.2,33,87,1,18,0,0.97,37,59,-22,-0.68,-0.95,38.6,55.4,-16.8,-0.52,+0.02,Matches
Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,20,1999,28,"1,830",65,53.5,20.3,22,78,6,18,6,1.14,19,22,-3,-0.15,+0.36,20.4,22.9,-2.5,-0.12,+0.01,Matches
Sami Ben Amar,ma MAR,FW,Nîmes,fr Ligue 1,21,1998,2,14,7,0.6,0.2,0,,2,6,5,2.00,0,0,0,0.00,+0.54,0.2,0.7,-0.5,-3.06,-2.59,Matches
Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,es La Liga,32,1987,5,159,32,4.6,1.8,2,58,3,14,5,0.60,2,3,-1,-0.57,-0.29,0.9,2.2,-1.4,-0.79,-0.53,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,28,1990,26,"2,164",83,85.9,24.0,25,85,1,29,0,1.50,40,36,+4,+0.17,+1.18,44.4,35.3,+9.1,+0.38,+0.56,Matches
Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,35,1983,0,,,0.0,0.0,0,,0,,8,0.00,0,3,-3,,,,,,,,Matches
Marco Benassi,it ITA,MF,Fiorentina,it Serie A,24,1994,18,980,54,30.2,10.9,10,83,8,19,11,1.50,16,12,+4,+0.37,+0.65,13.6,14.3,-0.7,-0.06,-0.19,Matches
Cristian Benavente,pe PER,"MF,FW",Nantes,fr Ligue 1,25,1994,12,349,29,13.8,3.9,4,68,8,10,10,1.50,5,4,+1,+0.26,+0.42,4.0,5.2,-1.2,-0.31,-0.11,Matches
Lars Bender,de GER,"DF,MF",Leverkusen,de Bundesliga,30,1989,18,"1,373",76,44.9,15.3,16,80,2,46,2,1.83,30,22,+8,+0.52,+0.04,26.4,19.7,+6.7,+0.44,+0.20,Matches
Sven Bender,de GER,DF,Leverkusen,de Bundesliga,30,1989,33,"2,726",83,89.1,30.3,33,83,0,,1,1.91,55,36,+19,+0.63,+1.17,49.8,39.5,+10.2,+0.34,+0.10,Matches
Darío Benedetto,ar ARG,FW,Marseille,fr Ligue 1,33,1986,26,"2,101",81,83.4,23.3,25,83,1,17,0,1.92,33,24,+9,+0.39,-0.26,29.9,27.3,+2.6,+0.11,-0.06,Matches
László Bénes,sk SVK,MF,M'gladbach,de Bundesliga,21,1997,22,898,41,29.3,10.0,10,77,12,11,9,2.00,22,14,+8,+0.80,+0.05,19.0,15.7,+3.3,+0.33,-0.55,Matches
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26,"2,340",90,92.9,26.0,26,90,0,,0,1.35,37,36,+1,+0.04,-0.96,32.8,41.3,-8.6,-0.33,-0.93,Matches
Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,27,1992,23,"1,896",82,75.2,21.1,21,89,2,17,0,1.22,27,28,-1,-0.05,-1.06,22.2,26.4,-4.3,-0.20,-0.26,Matches
Bilal Benkhedim,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,18,2001,3,132,44,5.2,1.5,1,92,2,20,1,0.33,1,2,-1,-0.68,-0.12,1.6,1.1,+0.5,+0.33,+0.58,Matches
Filip Benković,hr CRO,DF,Leicester City,eng Premier League,22,1997,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,21,1997,29,"2,330",80,71.9,25.9,26,87,3,23,4,1.72,43,32,+11,+0.42,+0.42,43.5,31.7,+11.8,+0.46,+0.55,Matches
Ryan Bennett,eng ENG,DF,Wolves,eng Premier League,29,1990,11,606,55,17.7,6.7,7,74,4,22,5,1.45,6,9,-3,-0.45,-0.89,6.7,7.6,-0.9,-0.14,-0.58,Matches
Ryan Bennett,eng ENG,DF,Leicester City,eng Premier League,29,1990,5,331,66,9.7,3.7,3,70,2,61,2,1.40,6,8,-2,-0.54,-1.36,7.5,4.8,+2.8,+0.75,+0.38,Matches
Keanen Bennetts,eng ENG,MF,M'gladbach,de Bundesliga,20,1999,1,1,1,0.0,0.0,0,,1,1,2,3.00,0,0,0,0.00,-0.76,0.0,0.0,0.0,0.00,-0.72,Matches
Yassine Benrahou,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,20,1999,6,168,28,6.7,1.9,1,69,5,20,2,1.50,2,2,0,0.00,-0.23,2.1,1.4,+0.7,+0.35,+0.52,Matches
Yassine Benrahou,fr FRA,"MF,FW",Nîmes,fr Ligue 1,20,1999,9,762,85,30.2,8.5,9,85,0,,0,1.67,15,9,+6,+0.71,+1.78,12.2,9.7,+2.5,+0.29,+1.12,Matches
Ramy Bensebaini,dz ALG,DF,M'gladbach,de Bundesliga,24,1995,19,"1,448",76,47.3,16.1,16,88,3,11,7,2.00,34,19,+15,+0.93,+0.32,35.0,20.2,+14.8,+0.92,+0.37,Matches
Josh Benson,eng ENG,MF,Burnley,eng Premier League,19,1999,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
Nabil Bentaleb,dz ALG,MF,Newcastle Utd,eng Premier League,24,1994,12,751,63,22.0,8.3,8,84,4,20,2,0.83,7,16,-9,-1.08,-0.71,6.2,12.2,-5.9,-0.71,-0.08,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,22,1997,29,"2,121",73,65.5,23.6,24,83,5,26,3,2.14,47,25,+22,+0.93,-0.27,48.5,25.7,+22.7,+0.96,+0.62,Matches
Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,28,1990,24,"1,261",53,36.9,14.0,13,86,11,13,3,1.21,11,18,-7,-0.50,0.00,14.3,20.6,-6.3,-0.45,-0.03,Matches
Romario Benzar,ro ROU,DF,Lecce,it Serie A,27,1992,3,97,32,3.0,1.1,1,58,2,20,10,0.00,0,2,-2,-1.86,-0.97,1.2,2.3,-1.1,-0.99,-0.16,Matches
Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,31,1987,37,"3,141",85,91.8,34.9,36,86,1,29,1,2.27,63,22,+41,+1.17,-0.12,58.2,27.7,+30.5,+0.87,-0.64,Matches
Yassine Benzia,dz ALG,MF,Dijon,fr Ligue 1,24,1994,3,173,58,6.9,1.9,2,64,1,45,0,0.67,3,4,-1,-0.52,-0.18,2.3,1.0,+1.3,+0.66,+1.23,Matches
Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,28,1991,0,,,,,0,,0,,36,,,,,,,,,,,,Matches
Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,24,1994,29,"2,325",80,71.8,25.8,27,84,2,29,1,1.48,48,45,+3,+0.12,+0.21,38.3,45.2,-7.0,-0.27,-0.02,Matches
