player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_minutes,header_playing_minutes_per_game,header_playing_minutes_pct,header_playing_minutes_90s,header_playing_games_starts,header_starts_minutes_per_start,header_starts_games_subs,header_subs_minutes_per_sub,header_subs_unused_subs,header_subs_points_per_match,header_team_success_on_goals_for,header_team_success_on_goals_against,header_team_success_plus_minus,header_team_success_plus_minus_per90,header_team_success_plus_minus_wowy,header_team_success_on_xg_for,header_xg_team_success_on_xg_against,header_xg_team_success_xg_plus_minus,header_xg_team_success_xg_plus_minus_per90,header_xg_team_success_xg_plus_minus_wowy,header_xg_team_success_matches
Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,28,1991,29,"2,428",84,71.0,27.0,28,85,1,51,3,0.83,30,47,-17,-0.63,+0.10,34.0,42.5,-8.5,-0.31,+0.16,Matches
Francis Coquelin,fr FRA,MF,Valencia,es La Liga,28,1991,26,"1,905",73,55.7,21.2,21,86,5,22,2,1.54,29,27,+2,+0.09,+0.63,24.2,28.7,-4.5,-0.21,+0.30,Matches
Gabriele Corbo,it ITA,DF,Bologna,it Serie A,19,2000,1,32,32,1.0,0.4,0,,1,32,34,0.00,0,1,-1,-2.81,-2.59,0.4,0.9,-0.5,-1.46,-1.47,Matches
Sébastien Corchia,fr FRA,DF,Espanyol,es La Liga,28,1990,3,269,90,7.9,3.0,3,90,0,,2,0.33,0,5,-5,-1.67,-0.93,2.2,2.2,0.0,-0.02,+0.32,Matches
Iñigo Córdoba,es ESP,FW,Athletic Club,es La Liga,22,1997,24,"1,442",60,42.2,16.0,21,65,3,23,1,1.67,22,14,+8,+0.50,+0.73,16.8,19.0,-2.2,-0.14,+0.11,Matches
Jhon Córdoba,co COL,FW,Köln,de Bundesliga,26,1993,29,"1,998",69,65.3,22.2,23,80,6,26,1,1.03,36,41,-5,-0.23,+0.88,32.7,34.1,-1.3,-0.06,+0.26,Matches
Sergio Córdova,ve VEN,"FW,MF",Augsburg,de Bundesliga,21,1997,16,367,23,12.0,4.1,4,63,12,10,5,1.38,9,5,+4,+0.98,+1.72,7.1,7.7,-0.6,-0.14,+0.22,Matches
Benjamin Corgnet,fr FRA,MF,Strasbourg,fr Ligue 1,32,1987,6,261,44,10.7,2.9,3,82,3,5,12,1.50,1,4,-3,-1.03,-1.16,3.4,3.8,-0.5,-0.16,-0.35,Matches
Jack Cork,eng ENG,MF,Burnley,eng Premier League,30,1989,30,"2,613",87,76.4,29.0,30,87,0,,0,1.40,31,41,-10,-0.34,-0.68,32.1,36.1,-4.0,-0.14,-0.10,Matches
Andreas Cornelius,dk DEN,FW,Parma,it Serie A,26,1993,25,"1,433",57,44.2,15.9,16,74,9,29,3,1.40,29,17,+12,+0.75,+1.40,21.6,28.1,-6.6,-0.41,+0.16,Matches
Maxwel Cornet,ci CIV,"FW,DF",Lyon,fr Ligue 1,22,1996,22,"1,330",60,52.8,14.8,14,85,8,17,2,1.41,17,16,+1,+0.07,-0.99,19.6,12.9,+6.7,+0.45,+0.16,Matches
Quentin Cornette,fr FRA,"FW,MF",Amiens,fr Ligue 1,25,1994,13,349,27,13.8,3.9,3,73,10,13,4,0.46,4,4,0,0.00,+0.79,3.3,3.7,-0.4,-0.11,+0.27,Matches
Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24,1995,33,"2,061",62,60.3,22.9,22,77,11,33,1,1.79,31,20,+11,+0.48,-0.38,31.4,19.5,+11.9,+0.52,-0.16,Matches
Joaquín Correa,ar ARG,"FW,MF",Lazio,it Serie A,24,1994,28,"1,833",65,56.6,20.4,20,81,8,27,1,2.29,44,24,+20,+0.98,-0.11,37.0,27.8,+9.1,+0.45,+0.01,Matches
Rober Correa,es ESP,DF,Eibar,es La Liga,26,1992,12,929,77,27.2,10.3,11,84,1,5,9,0.75,8,17,-9,-0.87,-0.58,10.5,12.4,-1.9,-0.19,+0.08,Matches
Thierry Correia,pt POR,DF,Valencia,es La Liga,20,1999,4,259,65,7.6,2.9,3,83,1,9,21,1.00,5,6,-1,-0.35,-0.18,3.0,5.2,-2.1,-0.75,-0.44,Matches
Antonio Cortés,es ESP,"FW,MF",Granada,es La Liga,19,2000,8,181,23,5.3,2.0,2,45,6,15,5,1.38,4,0,+4,+1.99,+1.91,3.3,2.0,+1.3,+0.64,+0.67,Matches
Edoardo Corvi,it ITA,GK,Parma,it Serie A,18,2001,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,35,1983,1,90,90,2.8,1.0,1,90,0,,35,1.00,1,1,0,0.00,+0.26,1.4,0.6,+0.7,+0.74,+0.76,Matches
Danny da Costa,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,26,1993,19,"1,389",73,45.4,15.4,15,88,4,17,13,1.63,34,27,+7,+0.45,+0.88,29.5,23.2,+6.3,+0.41,+0.61,Matches
Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,30,1988,23,"1,350",59,39.5,15.0,14,78,9,29,0,1.91,23,9,+14,+0.93,+0.50,19.8,12.6,+7.2,+0.48,-0.17,Matches
Douglas Costa,br BRA,"FW,MF",Juventus,it Serie A,28,1990,23,802,35,24.8,8.9,7,62,16,23,2,2.22,28,9,+19,+2.13,+1.47,18.4,8.4,+10.0,+1.12,+0.49,Matches
Jaume Costa,es ESP,DF,Valencia,es La Liga,31,1988,19,"1,389",73,40.6,15.4,15,83,4,38,14,1.58,20,17,+3,+0.19,+0.64,18.8,20.8,-2.0,-0.13,+0.36,Matches
João Paulo Santos Costa,pt POR,GK,Granada,es La Liga,23,1996,0,,,,,0,,0,,11,,,,,,,,,,,,Matches
Logan Costa,fr FRA,DF,Reims,fr Ligue 1,18,2001,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
Nuno da Costa,cv CPV,"FW,MF",Strasbourg,fr Ligue 1,28,1991,14,527,38,21.7,5.9,4,90,10,17,5,1.29,6,10,-4,-0.68,-0.87,6.7,7.6,-0.8,-0.14,-0.39,Matches
David Costas,es ESP,DF,Celta Vigo,es La Liga,24,1995,6,338,56,9.9,3.8,3,90,3,23,7,0.83,5,10,-5,-1.33,-1.13,5.7,6.2,-0.5,-0.13,-0.01,Matches
Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28,"2,520",90,100.0,28.0,28,90,0,,0,1.32,40,34,+6,+0.21,,31.0,34.8,-3.9,-0.14,,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,21,"1,616",77,64.1,18.0,18,87,3,18,1,1.43,16,14,+2,+0.11,+0.61,18.9,17.3,+1.6,+0.09,+0.85,Matches
Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,10,666,67,26.4,7.4,9,70,1,32,9,0.50,2,13,-11,-1.49,-1.54,7.2,14.5,-7.3,-0.99,-0.68,Matches
Yoann Court,fr FRA,"FW,MF",Brest,fr Ligue 1,29,1990,23,"1,465",64,58.1,16.3,18,77,5,14,0,1.17,20,22,-2,-0.12,-0.04,14.6,23.7,-9.1,-0.56,-0.39,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34,"3,060",90,89.5,34.0,34,90,0,,2,2.26,60,20,+40,+1.18,-0.07,58.1,25.4,+32.7,+0.96,+0.33,Matches
Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,de Bundesliga,27,1992,23,"1,411",61,46.1,15.7,15,81,8,24,2,2.35,45,13,+32,+2.04,+0.08,39.1,13.6,+25.5,+1.63,+0.41,Matches
Conor Coventry,ie IRL,MF,West Ham,eng Premier League,19,2000,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
Maurice Covic,de GER,MF,Hertha BSC,de Bundesliga,21,1998,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,7,556,79,22.1,6.2,6,86,1,42,5,2.29,10,3,+7,+1.13,+1.41,6.9,5.9,+1.0,+0.15,+0.31,Matches
Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,14,"1,260",90,38.9,14.0,14,90,0,,3,0.64,11,18,-7,-0.50,-0.68,15.3,20.3,-5.0,-0.36,+0.04,Matches
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,31,"2,727",88,79.7,30.3,31,88,0,,0,0.97,41,51,-10,-0.33,+0.06,36.8,49.7,-13.0,-0.43,+0.10,Matches
Noah Crétier,fr FRA,DF,Nice,fr Ligue 1,17,2001,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Domenico Criscito,it ITA,DF,Genoa,it Serie A,32,1986,24,"1,986",83,61.3,22.1,23,85,1,32,1,1.13,27,40,-13,-0.59,+0.20,28.3,36.7,-8.4,-0.38,-0.23,Matches
Bryan Cristante,it ITA,MF,Roma,it Serie A,24,1995,24,"1,490",62,46.0,16.6,16,84,8,19,0,1.63,37,28,+9,+0.54,-0.18,33.2,24.1,+9.2,+0.55,-0.10,Matches
Cristian,es ESP,GK,Valencia,es La Liga,21,1998,0,,,,,0,,0,,7,,,,,,,,,,,,Matches
Sebastián Cristóforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1,90,90,2.8,1.0,1,90,0,,17,0.00,0,1,-1,-1.00,-0.94,1.1,2.1,-0.9,-0.93,-1.03,Matches
Sebastián Cristóforo,uy URU,MF,Eibar,es La Liga,25,1993,18,877,49,25.6,9.7,9,81,9,17,1,1.28,11,12,-1,-0.10,+0.46,11.9,11.3,+0.7,+0.07,+0.42,Matches
Juan Cuadrado,co COL,"DF,FW",Juventus,it Serie A,31,1988,32,"2,564",80,79.1,28.5,27,89,5,34,2,2.28,60,24,+36,+1.26,+1.13,56.0,30.2,+25.8,+0.91,+0.74,Matches
Sergio Cubero Ezcurra,es ESP,MF,Eibar,es La Liga,19,1999,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
Cucho,co COL,"FW,MF",Mallorca,es La Liga,20,1999,22,"1,487",68,43.5,16.5,17,78,5,32,0,0.82,20,25,-5,-0.30,+0.63,15.4,25.2,-9.9,-0.60,-0.09,Matches
Marc Cucurella,es ESP,"MF,DF",Getafe,es La Liga,21,1998,37,"3,237",87,94.6,36.0,37,87,0,,0,1.38,41,33,+8,+0.22,+1.21,37.4,36.7,+0.7,+0.02,+0.83,Matches
Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27,"2,429",90,71.0,27.0,27,90,0,,1,1.11,25,33,-8,-0.30,+0.88,28.5,27.7,+0.8,+0.03,+0.34,Matches
Jaume Cuéllar,bo BOL,MF,SPAL,it Serie A,17,2001,1,10,10,0.3,0.1,0,,1,10,5,0.00,0,1,-1,-9.00,-7.77,0.1,0.3,-0.2,-1.55,-0.87,Matches
Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,19,1999,9,307,34,10.0,3.4,3,71,6,16,18,3.00,13,2,+11,+3.22,+1.36,8.9,4.2,+4.7,+1.36,-0.05,Matches
Luke Cundle,eng ENG,MF,Wolves,eng Premier League,,,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,20,1999,11,744,68,24.3,8.3,9,80,2,12,0,1.36,18,14,+4,+0.48,+1.07,13.2,13.3,-0.1,-0.01,+0.43,Matches
Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,20,1999,10,279,28,9.1,3.1,2,66,8,19,7,1.60,7,2,+5,+1.61,+0.35,6.3,2.9,+3.4,+1.11,+0.12,Matches
Felipe Curcio,br BRA,DF,Brescia,it Serie A,26,1993,1,5,5,0.2,0.1,0,,1,5,2,0.00,0,0,0,0.00,+1.17,0.0,0.0,0.0,0.00,+0.86,Matches
Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,17,747,44,23.1,8.3,8,64,9,26,1,1.29,14,4,+10,+1.20,+1.67,13.3,12.0,+1.4,+0.16,+0.12,Matches
Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,12,297,25,8.7,3.3,3,65,9,11,8,1.67,6,6,0,0.00,-0.32,4.9,5.2,-0.3,-0.09,-0.47,Matches
Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,20,"1,772",89,70.3,19.7,20,89,0,,0,1.45,30,25,+5,+0.25,+0.49,27.5,30.2,-2.7,-0.14,+0.42,Matches
Rafael Czichos,de GER,DF,Köln,de Bundesliga,29,1990,26,"2,207",85,72.1,24.5,26,85,0,,0,1.08,36,51,-15,-0.61,-0.30,34.3,41.0,-6.7,-0.27,-0.44,Matches
Lennart-Marten Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,1,17,17,0.5,0.2,0,,1,17,13,3.00,0,1,-1,-5.29,-6.75,0.4,0.2,+0.2,+1.07,-0.14,Matches
Marco D'Alessandro,it ITA,"DF,MF",SPAL,it Serie A,28,1991,13,651,50,20.1,7.2,9,61,4,27,1,0.38,8,12,-4,-0.55,+0.87,6.3,13.7,-7.4,-1.03,-0.44,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,1988,20,"1,236",62,38.1,13.7,13,86,7,16,8,2.30,33,9,+24,+1.75,+0.98,28.5,13.7,+14.8,+1.08,+0.30,Matches
Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2000,2,3,2,0.1,0.0,0,,2,2,5,1.50,0,0,0,0.00,+0.39,0.5,0.0,+0.5,+14.25,+14.34,Matches
Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,2,72,36,2.9,0.8,1,65,1,7,2,0.50,0,0,0,0.00,-0.51,0.9,0.7,+0.2,+0.22,-0.04,Matches
Jacopo Da Riva,it ITA,MF,Atalanta,it Serie A,18,2000,0,,,,,0,,0,,10,,,,,,,,,,,,Matches
Bernardo Costa Da Rosa,br BRA,MF,West Ham,eng Premier League,18,2000,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,25,"2,244",90,89.0,24.9,25,90,0,,1,1.92,36,21,+15,+0.60,+0.93,32.9,24.9,+8.0,+0.32,+0.55,Matches
Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,14,942,67,29.1,10.5,11,77,3,32,1,0.36,10,31,-21,-2.01,-1.07,10.9,20.3,-9.4,-0.90,-0.31,Matches
Moanes Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,14,766,55,25.0,8.5,11,61,3,30,0,1.71,17,8,+9,+1.06,+1.41,16.1,10.7,+5.4,+0.64,+0.86,Matches
Moanes Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,2,26,13,0.8,0.3,0,,2,13,2,0.50,0,0,0,0.00,-0.53,1.2,0.2,+0.9,+3.21,+2.85,Matches
Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,10,668,67,27.5,7.4,7,86,3,22,5,2.40,18,4,+14,+1.89,0.00,18.1,5.3,+12.8,+1.73,-0.13,Matches
Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,21,1998,0,,,,,0,,0,,12,,,,,,,,,,,,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,12,558,47,18.2,6.2,6,73,6,20,15,2.17,13,8,+5,+0.81,-0.56,7.2,7.0,+0.2,+0.03,-0.60,Matches
Leon Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,2,12,6,0.4,0.1,0,,2,6,4,3.00,1,0,+1,+7.50,+5.52,0.1,0.3,-0.2,-1.86,-3.28,Matches
Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,1984,15,997,66,30.8,11.1,11,82,4,24,18,0.53,10,28,-18,-1.62,-0.54,12.8,21.0,-8.2,-0.74,-0.09,Matches
Christian Dalle Mura,it ITA,DF,Fiorentina,it Serie A,17,2002,0,,,,,0,,0,,8,,,,,,,,,,,,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,4,67,17,2.0,0.7,1,59,3,3,4,1.00,0,1,-1,-1.34,-2.18,1.1,1.0,+0.1,+0.10,-0.49,Matches
James Daly,eng ENG,FW,Crystal Palace,eng Premier League,19,2000,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
Elias Damergy,fr FRA,GK,Rennes,fr Ligue 1,16,2002,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Antonio Daniele,it ITA,GK,Napoli,it Serie A,17,2002,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,2,126,63,3.7,1.4,2,63,0,,1,1.50,2,2,0,0.00,+0.68,1.4,2.6,-1.3,-0.90,-0.56,Matches
Danilo,br BRA,DF,Juventus,it Serie A,28,1991,21,"1,350",64,41.7,15.0,15,74,6,41,9,2.19,32,24,+8,+0.53,-0.85,23.9,21.0,+2.9,+0.19,-0.96,Matches
Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,16,"1,266",79,37.0,14.1,14,88,2,19,15,1.13,10,14,-4,-0.28,+0.34,13.8,18.6,-4.8,-0.34,+0.14,Matches
Kevin Danso,at AUT,DF,Southampton,eng Premier League,20,1998,6,277,46,8.1,3.1,3,69,3,23,16,0.83,3,8,-5,-1.62,-1.51,3.3,6.3,-3.0,-0.98,-1.09,Matches
Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21,"1,890",90,75.0,21.0,21,90,0,,0,1.48,31,26,+5,+0.24,+0.52,28.0,30.4,-2.4,-0.11,+0.59,Matches
Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,1,1,1,0.0,0.0,0,,1,1,16,3.00,0,0,0,0.00,+0.11,0.0,0.1,-0.1,-8.53,-8.42,Matches
Ebrima Darboe,gm GAM,MF,Roma,it Serie A,18,2001,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Márton Dárdai,de GER,MF,Hertha BSC,de Bundesliga,17,2002,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
Palkó Dárdai,de GER,MF,Hertha BSC,de Bundesliga,20,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Sergi Darder,es ESP,"MF,FW",Espanyol,es La Liga,25,1993,36,"2,658",74,77.7,29.5,29,86,7,24,1,0.67,22,48,-26,-0.88,-0.29,27.5,36.7,-9.2,-0.31,-0.01,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,28,"2,256",81,73.7,25.1,25,85,3,45,2,1.21,37,43,-6,-0.24,+0.32,29.5,36.6,-7.1,-0.28,+0.19,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,28,1990,0,,,,,0,,0,,37,,,,,,,,,,,,Matches
Matteo Darmian,it ITA,DF,Parma,it Serie A,29,1989,31,"2,505",81,77.3,27.8,28,88,3,14,0,1.29,37,40,-3,-0.11,-0.35,32.0,47.1,-15.0,-0.54,-0.17,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,29,"2,234",77,73.0,24.8,24,88,5,26,4,2.48,77,21,+56,+2.26,+0.95,63.8,25.0,+38.8,+1.56,+0.58,Matches
Ben Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,18,"1,431",80,41.8,15.9,16,88,2,9,6,1.61,24,19,+5,+0.31,-0.09,16.6,20.3,-3.6,-0.23,-0.10,Matches
Tom Davies,eng ENG,MF,Everton,eng Premier League,21,1998,30,"2,027",68,59.3,22.5,23,83,7,16,6,1.33,21,34,-13,-0.58,-0.64,27.1,32.9,-5.8,-0.26,-0.66,Matches
Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,18,548,30,16.0,6.1,4,70,14,19,3,0.83,6,7,-1,-0.16,+0.62,7.7,6.3,+1.5,+0.24,+1.11,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,15,693,46,21.4,7.7,7,72,8,24,9,1.60,11,7,+4,+0.52,+0.80,13.0,9.9,+3.1,+0.40,+0.65,Matches
Craig Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,29,"2,361",81,69.0,26.2,26,88,3,22,5,0.90,25,49,-24,-0.91,-0.57,32.9,41.7,-8.8,-0.34,-0.01,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,35,"2,791",80,81.6,31.0,32,84,3,32,1,2.23,87,22,+65,+2.10,+1.81,80.5,25.2,+55.3,+1.78,+1.39,Matches
Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,32,1987,20,"1,410",71,43.5,15.7,16,86,4,7,14,1.35,14,17,-3,-0.19,+0.35,16.4,18.9,-2.5,-0.16,+0.28,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,25,1994,32,"2,642",83,81.5,29.4,31,85,1,20,0,1.19,30,41,-11,-0.37,+0.08,32.4,41.0,-8.6,-0.29,+0.11,Matches
Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,9,471,52,14.5,5.2,6,73,3,11,10,2.67,10,3,+7,+1.34,+0.36,8.8,6.1,+2.7,+0.52,-0.27,Matches
Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,31,1988,29,"2,243",77,69.2,24.9,28,80,1,13,5,1.24,28,47,-19,-0.76,-0.58,27.3,40.6,-13.3,-0.53,-0.04,Matches
Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,17,"1,335",79,53.0,14.8,15,86,2,25,0,1.12,16,18,-2,-0.13,+0.85,18.0,19.7,-1.6,-0.11,+0.80,Matches
Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,21,"1,769",84,70.2,19.7,20,88,1,6,4,1.10,22,34,-12,-0.61,-0.13,22.9,26.5,-3.6,-0.18,+0.11,Matches
Troy Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,27,"2,225",82,65.1,24.7,26,84,1,35,2,0.96,27,39,-12,-0.49,+0.72,30.4,34.8,-4.4,-0.18,+0.44,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,28,1991,17,980,58,30.2,10.9,9,82,8,30,4,1.59,24,20,+4,+0.37,+0.45,19.6,18.0,+1.6,+0.15,+0.59,Matches
Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,1,1,1,0.0,0.0,0,,1,1,15,0.00,0,1,-1,-90.00,-89.94,0.0,0.2,-0.2,-18.53,-18.15,Matches
Alessandro Deiola,it ITA,MF,Lecce,it Serie A,23,1995,10,717,72,22.1,8.0,8,85,2,18,0,1.40,10,20,-10,-1.26,-0.43,10.1,19.9,-9.9,-1.24,-0.51,Matches
Romain Del Castillo,fr FRA,"FW,MF",Rennes,fr Ligue 1,23,1996,21,"1,242",59,49.3,13.8,14,78,7,21,6,1.95,24,9,+15,+1.09,+1.16,20.6,13.2,+7.4,+0.54,+0.55,Matches
Isaias Del Pupo,ar ARG,MF,Cagliari,it Serie A,18,2001,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,27,1992,16,"1,254",78,49.8,13.9,14,88,2,13,7,1.00,11,22,-11,-0.79,-1.00,14.5,17.4,-2.9,-0.21,+0.10,Matches
Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,1991,11,830,75,27.1,9.2,11,75,0,,5,1.91,19,6,+13,+1.41,+0.20,17.0,8.8,+8.2,+0.88,+0.50,Matches
Tom Dele-Bashiru,ng NGA,MF,Watford,eng Premier League,19,1999,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
Paul Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,2,136,68,5.4,1.5,1,91,1,45,24,0.00,1,4,-3,-1.99,-1.80,2.1,2.8,-0.6,-0.43,-0.18,Matches
Javier Delgado,es ESP,FW,Barcelona,es La Liga,20,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Cristian Dell'Orco,it ITA,DF,Lecce,it Serie A,25,1994,12,899,75,27.7,10.0,10,87,2,16,15,0.50,8,18,-10,-1.00,-0.12,12.6,19.3,-6.7,-0.67,+0.23,Matches
Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,1991,26,"2,280",88,90.5,25.3,26,88,0,,0,1.54,35,31,+4,+0.16,+1.28,30.5,31.3,-0.7,-0.03,+0.57,Matches
Fabian Delph,eng ENG,MF,Everton,eng Premier League,29,1989,16,"1,190",74,34.8,13.2,13,86,3,23,1,1.19,17,24,-7,-0.53,-0.33,19.5,16.3,+3.2,+0.24,+0.35,Matches
Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,23,1996,27,"2,188",81,86.8,24.3,24,88,3,26,1,1.44,37,23,+14,+0.58,+0.30,34.3,23.6,+10.7,+0.44,+0.47,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,22,1997,5,357,71,10.4,4.0,3,89,2,45,0,2.40,8,2,+6,+1.51,+0.28,5.7,3.0,+2.8,+0.70,-0.11,Matches
Merih Demiral,tr TUR,DF,Juventus,it Serie A,21,1998,5,378,76,11.7,4.2,5,76,0,,18,3.00,13,3,+10,+2.38,+1.53,8.6,4.7,+3.9,+0.93,+0.20,Matches
Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,25,"1,573",63,51.4,17.5,18,80,7,19,7,1.80,29,22,+7,+0.40,-0.20,34.1,25.6,+8.5,+0.49,+0.33,Matches
Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,17,"1,211",71,39.6,13.5,14,81,3,28,0,2.18,37,18,+19,+1.41,+0.20,31.8,14.9,+16.9,+1.26,+0.42,Matches
Diego Demme,de GER,MF,Napoli,it Serie A,27,1991,13,800,62,24.7,8.9,9,77,4,28,3,1.77,12,12,0,0.00,-0.41,12.9,10.5,+2.5,+0.28,-0.41,Matches
Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,25,"2,131",85,84.6,23.7,24,89,1,0,1,1.52,37,22,+15,+0.63,+0.63,31.0,23.1,+7.9,+0.33,-0.30,Matches
Leander Dendoncker,be BEL,"MF,DF",Wolves,eng Premier League,24,1995,38,"2,795",74,81.7,31.1,32,85,6,14,0,1.55,41,34,+7,+0.23,-0.35,39.2,28.1,+11.0,+0.35,+0.09,Matches
Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,2000,17,603,35,23.9,6.7,6,82,11,10,6,0.82,8,9,-1,-0.15,+0.51,7.2,11.9,-4.7,-0.70,-0.29,Matches
Stefano Denswil,nl NED,DF,Bologna,it Serie A,26,1993,24,"2,060",86,63.6,22.9,23,89,1,7,7,1.33,32,40,-8,-0.35,-0.27,35.1,32.6,+2.6,+0.11,+0.31,Matches
Fabio Depaoli,it ITA,"MF,DF",Sampdoria,it Serie A,22,1997,27,"1,719",64,53.1,19.1,19,81,8,23,1,1.26,21,26,-5,-0.26,+0.27,20.9,24.7,-3.8,-0.20,-0.25,Matches
Memphis Depay,nl NED,"FW,MF",Lyon,fr Ligue 1,25,1994,13,"1,018",78,40.4,11.3,12,83,1,26,1,1.31,19,8,+11,+0.97,+0.73,13.4,10.5,+2.9,+0.26,-0.20,Matches
Kastriot Dermaku,al ALB,DF,Parma,it Serie A,27,1992,14,891,64,27.5,9.9,9,87,5,22,22,1.71,17,12,+5,+0.51,+0.73,13.5,14.5,-0.9,-0.09,+0.56,Matches
Daniele Dessena,it ITA,MF,Brescia,it Serie A,32,1987,23,"1,779",77,54.9,19.8,21,80,2,45,0,0.61,21,39,-18,-0.91,+0.57,20.6,41.5,-20.9,-1.06,-0.43,Matches
