player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_touches_touches,header_touches_touches_def_pen_area,header_touches_touches_def_3rd,header_touches_touches_mid_3rd,header_touches_touches_att_3rd,header_touches_touches_att_pen_area,header_touches_touches_live_ball,header_dribbles_dribbles_completed,header_dribbles_dribbles,header_dribbles_dribbles_completed_pct,header_dribbles_players_dribbled_past,header_dribbles_nutmegs,header_carries_carries,header_carries_carry_distance,header_carries_carry_progressive_distance,header_receiving_pass_targets,header_receiving_passes_received,header_receiving_passes_received_pct,miscontrols,dispossessed,matches
Moussa Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18,2000,1.0,65,6,39,31,0,0,61,0,0,,0,0,38,251,163,40,40,100.0,0,0,Matches
Raphael Dias Belloli,br BRA,"MF,FW",Rennes,fr Ligue 1,23,1996,18.8,971,18,113,482,455,77,879,58,110,52.7,64,8,705,5193,3295,845,636,75.3,36,43,Matches
Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,116,109,116,0,0,0,66,0,0,,0,0,37,140,98,27,27,100.0,0,0,Matches
Amadou Diawara,gn GUI,MF,Roma,it Serie A,22,1997,15.9,1046,35,256,717,151,5,1020,10,10,100.0,10,0,760,4402,2302,780,762,97.7,3,4,Matches
Brahim Díaz,es ESP,"FW,MF",Real Madrid,es La Liga,19,1999,0.7,63,0,5,39,26,7,63,2,7,28.6,3,0,55,373,275,65,53,81.5,4,3,Matches
Víctor Díaz,es ESP,DF,Granada,es La Liga,31,1988,32.0,1878,128,594,912,437,14,1512,15,26,57.7,15,1,836,3591,1853,943,861,91.3,15,9,Matches
Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,20.8,1139,126,536,571,95,14,1083,10,12,83.3,11,1,672,3575,1881,697,667,95.7,9,3,Matches
Eric Dier,eng ENG,"DF,MF",Tottenham,eng Premier League,25,1994,14.9,1035,118,475,547,61,11,1015,3,5,60.0,4,0,611,2911,1466,723,698,96.5,6,4,Matches
Lucas Digne,fr FRA,DF,Everton,eng Premier League,26,1993,33.7,2363,109,625,960,882,62,1825,25,43,58.1,27,2,1060,5699,3277,1287,1109,86.2,18,32,Matches
Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38.0,3465,340,1427,2086,108,49,3382,3,5,60.0,4,0,2321,9327,4883,2568,2514,97.9,2,2,Matches
Mitchell Dijks,nl NED,DF,Bologna,it Serie A,26,1993,11.2,650,40,202,306,193,6,547,9,26,34.6,10,5,400,2421,1503,419,371,88.5,8,11,Matches
Javairô Dilrosun,nl NED,"MF,FW",Hertha BSC,de Bundesliga,21,1998,14.5,611,11,135,312,222,37,594,48,66,72.7,51,3,461,4302,2661,522,384,73.6,33,27,Matches
Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,3.8,279,12,64,114,122,9,230,3,4,75.0,3,0,160,863,493,179,160,89.4,3,2,Matches
Federico Dimarco,it ITA,"DF,MF",Inter,it Serie A,21,1997,0.3,19,1,4,10,6,1,16,0,0,,0,0,9,79,56,13,8,61.5,0,1,Matches
Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,28,1991,9.9,449,4,52,228,180,18,438,5,9,55.6,5,0,312,991,342,419,339,80.9,18,13,Matches
Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,7.4,192,1,7,82,114,28,180,4,10,40.0,5,1,125,827,327,292,145,49.7,24,14,Matches
Issa Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,30.7,1268,238,698,600,34,22,1226,4,5,80.0,4,0,602,3976,1928,625,603,96.5,3,5,Matches
Papakouli Diop,sn SEN,MF,Eibar,es La Liga,33,1986,25.0,1049,50,165,728,198,24,1036,6,10,60.0,8,0,502,2281,884,605,531,87.8,16,16,Matches
Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,1.3,65,1,23,39,4,0,64,2,2,100.0,2,0,36,233,122,41,35,85.4,1,3,Matches
Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27.0,1717,237,1032,737,59,20,1685,10,14,71.4,10,0,1141,7710,4664,1180,1155,97.9,7,5,Matches
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,19,2000,7.3,505,38,248,286,22,1,486,1,3,33.3,1,0,366,2238,1146,350,345,98.6,2,2,Matches
Djené,tg TOG,DF,Getafe,es La Liga,27,1991,34.0,1295,133,610,680,56,14,1254,11,14,78.6,12,0,561,4037,1577,449,435,96.9,6,8,Matches
Moussa Djenepo,ml MLI,"MF,DF",Southampton,eng Premier League,21,1998,10.3,468,15,85,196,228,48,458,48,70,68.6,49,1,359,3030,2045,440,318,72.3,34,24,Matches
Koffi Djidji,ci CIV,DF,Torino,it Serie A,26,1992,8.0,427,89,263,176,11,0,415,5,6,83.3,5,0,227,1063,452,221,215,97.3,3,3,Matches
Alexander Djiku,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,24,1994,22.9,1503,134,746,783,71,19,1476,13,17,76.5,14,1,932,4757,2758,961,946,98.4,7,13,Matches
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,29.4,2050,142,822,1100,244,41,1955,13,17,76.5,14,2,1264,6197,2920,1370,1317,96.1,11,7,Matches
Naïs Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,1999,0.3,25,0,1,10,14,2,25,1,2,50.0,2,0,23,145,111,23,23,100.0,0,0,Matches
Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,27,1992,35.0,1158,931,1146,13,2,2,742,1,1,100.0,1,0,495,3205,1907,364,360,98.9,0,0,Matches
Matt Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,31.5,2157,82,508,1098,661,95,1822,29,52,55.8,30,5,1185,6275,4064,1542,1319,85.5,46,23,Matches
Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,1997,21.0,552,30,59,268,261,70,507,18,38,47.4,18,2,365,2244,954,660,386,58.5,48,35,Matches
Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,1993,1.6,92,2,6,45,50,1,86,3,5,60.0,3,0,67,320,142,83,60,72.3,1,4,Matches
Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,500,457,500,0,0,0,322,0,0,,0,0,213,867,505,169,168,99.4,0,0,Matches
Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,21,1998,6.9,429,17,108,235,105,6,405,5,8,62.5,6,0,250,1088,494,287,253,88.2,2,3,Matches
Giulio Donati,it ITA,DF,Lecce,it Serie A,29,1990,17.6,996,97,388,486,188,16,873,7,18,38.9,7,0,596,3811,2528,664,630,94.9,2,7,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,36,0,2,17,18,5,35,0,2,0.0,0,0,25,76,22,34,31,91.2,3,5,Matches
Anastasios Donis,gr GRE,"FW,MF",Reims,fr Ligue 1,22,1996,6.8,205,6,24,90,119,24,194,25,35,71.4,26,0,165,1811,1010,293,146,49.8,13,10,Matches
Alfredo Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.6,607,3,48,291,306,101,572,14,26,53.8,16,0,428,2353,1226,775,445,57.4,25,27,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,33.6,1166,1036,1162,4,0,0,837,0,0,,0,0,564,2563,1349,514,511,99.4,0,0,Matches
Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,1726,138,742,1038,55,26,1675,5,7,71.4,6,0,1112,6435,3598,1189,1173,98.7,6,8,Matches
Mathieu Dossevi,tg TOG,"MF,FW",Toulouse,fr Ligue 1,31,1988,19.5,977,11,129,396,538,71,875,32,57,56.1,35,0,711,5530,3179,881,643,73.0,44,42,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,584,23,46,332,217,76,570,4,7,57.1,5,1,200,561,259,759,447,58.9,23,7,Matches
Abdoulaye Doucouré,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,2065,74,421,1114,668,98,2053,49,78,62.8,51,2,1427,7286,3970,1619,1370,84.6,44,50,Matches
Mamadou Doucouré,fr FRA,MF,M'gladbach,de Bundesliga,21,1998,0.0,9,0,6,5,0,0,9,0,0,,0,0,7,36,4,8,8,100.0,0,0,Matches
Moussa Doumbia,ml MLI,"FW,MF",Reims,fr Ligue 1,24,1994,19.1,982,10,130,496,477,76,945,61,103,59.2,64,1,815,6658,4121,890,693,77.9,51,47,Matches
Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5.0,362,22,134,182,83,1,299,4,7,57.1,5,3,222,1536,971,217,208,95.9,6,5,Matches
Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1.0,59,3,14,32,15,1,49,4,5,80.0,4,0,38,184,141,34,32,94.1,0,1,Matches
Thomas Doyle,eng ENG,"MF,FW",Manchester City,eng Premier League,17,2001,0.2,20,0,2,16,7,0,20,0,0,,0,0,19,100,20,19,19,100.0,0,0,Matches
Mohamed Dräger,tn TUN,DF,Paderborn 07,de Bundesliga,23,1996,16.2,1040,53,380,509,268,22,871,21,52,40.4,23,3,645,4999,2977,639,583,91.2,19,29,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,28,1991,11.4,1051,61,436,620,58,3,1004,1,1,100.0,1,0,736,3338,1859,779,769,98.7,3,3,Matches
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,984,901,983,2,0,0,686,0,0,,0,0,405,2283,1285,355,352,99.2,1,0,Matches
Julian Draxler,de GER,MF,Paris S-G,fr Ligue 1,25,1993,7.6,560,4,76,360,181,22,545,13,21,61.9,13,0,467,2862,1591,491,444,90.4,7,11,Matches
Dominick Drexler,de GER,"MF,FW",Köln,de Bundesliga,29,1990,17.6,872,29,174,400,362,56,830,23,40,57.5,23,0,607,4063,2001,716,556,77.7,31,27,Matches
Danny Drinkwater,eng ENG,MF,Aston Villa,eng Premier League,29,1990,2.9,199,6,62,110,33,2,195,2,3,66.7,2,0,117,489,173,136,126,92.6,2,6,Matches
Danny Drinkwater,eng ENG,MF,Burnley,eng Premier League,29,1990,0.6,26,2,6,19,1,0,25,0,1,0.0,0,0,11,43,5,16,11,68.8,0,1,Matches
Josip Drmić,ch SUI,"FW,MF",Norwich City,eng Premier League,26,1992,7.2,240,6,20,134,96,24,228,6,14,42.9,6,1,155,682,260,300,159,53.0,24,13,Matches
Domingos Duarte,pt POR,DF,Granada,es La Liga,24,1995,34.3,1566,251,899,710,45,21,1470,6,9,66.7,8,2,781,4886,2652,854,829,97.1,8,0,Matches
Léo Duarte,br BRA,DF,Milan,it Serie A,23,1996,4.4,223,33,124,101,9,6,207,0,0,,0,0,130,620,246,143,143,100.0,1,1,Matches
Óscar Duarte,cr CRC,DF,Levante,es La Liga,30,1989,5.4,299,79,207,98,8,6,289,1,1,100.0,1,0,161,908,457,181,179,98.9,0,1,Matches
Rubén Duarte,es ESP,DF,Alavés,es La Liga,23,1995,29.6,1651,97,538,829,346,33,1323,4,10,40.0,5,0,745,3688,1863,791,730,92.3,14,16,Matches
Edgaras Dubickas,lt LTU,DF,Lecce,it Serie A,21,1998,0.0,2,0,0,2,0,0,2,0,0,,0,0,2,8,3,3,2,66.7,0,0,Matches
Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,24,1994,15.0,1106,47,311,577,287,10,943,12,22,54.5,12,0,712,4012,2261,752,701,93.2,14,9,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38.0,1201,1030,1195,7,0,0,719,0,0,,0,0,435,2614,1424,338,338,100.0,3,0,Matches
Ondrej Duda,sk SVK,MF,Norwich City,eng Premier League,24,1994,8.0,467,16,79,250,156,9,429,5,12,41.7,5,3,278,1230,526,401,307,76.6,14,3,Matches
Ondrej Duda,sk SVK,"MF,FW",Hertha BSC,de Bundesliga,24,1994,5.0,257,6,37,148,88,9,240,13,22,59.1,14,0,208,1058,512,209,171,81.8,11,10,Matches
Shane Duffy,ie IRL,DF,Brighton,eng Premier League,27,1992,13.8,800,124,503,304,35,16,766,2,5,40.0,3,0,420,2022,1047,465,455,97.8,6,2,Matches
Haris Duljević,ba BIH,"FW,MF",Nîmes,fr Ligue 1,25,1993,5.8,235,1,23,108,130,13,224,12,20,60.0,13,0,189,1579,950,240,159,66.3,8,15,Matches
Paul Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,27,1991,13.6,663,92,337,264,86,6,613,1,3,33.3,1,0,327,1291,647,358,335,93.6,3,1,Matches
Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,26,1993,8.5,455,12,96,265,142,11,445,24,37,64.9,25,3,363,2126,1367,382,347,90.8,11,17,Matches
Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,26,1993,9.4,597,27,119,337,180,18,582,17,32,53.1,20,2,440,2120,1218,509,446,87.6,12,16,Matches
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,27,1991,35.9,2547,436,1559,1029,107,43,2448,3,7,42.9,3,0,1596,8765,4727,1737,1712,98.6,7,11,Matches
Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,27,1992,5.7,322,11,82,124,132,16,276,5,7,71.4,5,0,188,1084,467,213,170,79.8,8,8,Matches
Riza Durmisi,dk DEN,DF,Nice,fr Ligue 1,25,1994,1.8,117,4,29,53,38,1,94,1,3,33.3,2,0,73,431,225,86,77,89.5,4,1,Matches
Hugo Duro,es ESP,"FW,MF",Getafe,es La Liga,19,1999,4.2,145,4,15,58,80,24,142,0,1,0.0,0,0,73,366,178,202,97,48.0,18,11,Matches
Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,22,1997,13.1,999,137,577,470,34,5,975,8,13,61.5,9,0,654,4466,2427,686,679,99.0,1,5,Matches
Paulo Dybala,ar ARG,"FW,MF",Juventus,it Serie A,25,1993,23.9,1884,3,116,868,1049,124,1737,65,112,58.0,71,6,1370,8017,4164,1738,1521,87.5,50,49,Matches
Edin Džeko,ba BIH,FW,Roma,it Serie A,33,1986,30.7,1178,37,69,553,624,236,1139,39,73,53.4,44,0,711,4588,2151,1502,926,61.7,86,39,Matches
Blerim Džemaili,ch SUI,MF,Bologna,it Serie A,33,1986,7.8,456,12,72,286,134,14,437,7,13,53.8,9,1,308,1972,1189,359,302,84.1,8,21,Matches
Bruno Ecuele Manga,ga GAB,DF,Dijon,fr Ligue 1,31,1988,28.0,1617,266,1051,614,42,24,1564,6,9,66.7,6,0,968,4819,2278,1019,1001,98.2,8,10,Matches
Simone Edera,it ITA,"MF,FW",Torino,it Serie A,22,1997,4.4,200,2,27,90,105,17,184,4,14,28.6,5,1,144,792,508,193,134,69.4,9,13,Matches
Ederson,br BRA,GK,Manchester City,eng Premier League,25,1993,34.1,1133,947,1121,25,0,0,950,0,0,,0,0,702,3209,2148,668,665,99.6,2,0,Matches
John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,26,1992,35.4,1670,248,896,792,65,47,1638,3,3,100.0,3,1,803,4700,2585,861,831,96.5,8,1,Matches
Johannes Eggestein,de GER,"MF,FW",Werder Bremen,de Bundesliga,21,1998,5.7,273,6,50,132,111,25,267,1,5,20.0,2,1,194,1204,542,246,180,73.2,13,10,Matches
Maximilian Eggestein,de GER,"MF,DF",Werder Bremen,de Bundesliga,22,1996,31.7,1831,74,380,1054,514,45,1757,21,44,47.7,21,1,1222,6166,3396,1418,1207,85.1,32,36,Matches
Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,24,1995,25.9,1523,102,561,705,367,21,1298,36,65,55.4,39,3,845,5323,3167,878,800,91.1,33,27,Matches
Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,30,1989,26.5,1454,80,396,914,256,27,1393,24,33,72.7,24,2,919,6205,3582,942,866,91.9,12,29,Matches
Harvey Elliot,eng ENG,DF,Liverpool,eng Premier League,16,2003,0.1,16,0,0,5,11,0,12,1,1,100.0,1,0,10,44,13,14,11,78.6,0,1,Matches
Elif Elmas,mk MKD,MF,Napoli,it Serie A,19,1999,11.5,757,11,115,442,260,26,750,24,30,80.0,25,0,630,3590,1943,716,612,85.5,17,19,Matches
Ilay Elmkies,il ISR,MF,Hoffenheim,de Bundesliga,19,2000,0.0,5,1,2,1,2,0,5,0,0,,0,0,2,15,8,4,3,75.0,0,0,Matches
Ahmed Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,31,1987,11.5,718,48,211,327,240,17,622,6,9,66.7,7,0,429,2352,1408,462,424,91.8,4,5,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,25,1994,16.8,1145,147,561,614,56,15,1094,2,5,40.0,2,0,694,4755,2444,722,709,98.2,2,6,Matches
Nico Elvedi,ch SUI,DF,M'gladbach,de Bundesliga,22,1996,29.1,2022,258,1198,949,36,13,1973,8,9,88.9,8,0,1312,7949,4582,1362,1334,97.9,5,6,Matches
Rodrigo Ely,br BRA,DF,Alavés,es La Liga,25,1993,23.6,1111,159,635,496,22,15,1075,4,4,100.0,4,0,528,2576,983,569,544,95.6,3,8,Matches
Adri Embarba,es ESP,"MF,FW",Espanyol,es La Liga,27,1992,15.2,682,15,108,293,342,31,611,35,70,50.0,40,3,469,3995,2464,617,414,67.1,38,33,Matches
Breel Embolo,ch SUI,"FW,MF",M'gladbach,de Bundesliga,22,1997,17.2,701,6,56,368,331,97,680,36,83,43.4,41,7,555,3601,1966,828,522,63.0,58,66,Matches
Emerson,br BRA,DF,Betis,es La Liga,20,1999,31.5,2008,101,595,873,674,96,1719,21,40,52.5,22,2,1235,7274,4588,1340,1221,91.1,45,38,Matches
Renaud Emond,be BEL,"FW,MF",Nantes,fr Ligue 1,27,1991,3.2,113,6,19,63,34,11,110,2,4,50.0,2,0,57,305,165,129,77,59.7,7,2,Matches
Alan Empereur,br BRA,DF,Hellas Verona,it Serie A,25,1994,9.5,571,77,272,290,32,3,547,3,3,100.0,3,0,346,1409,686,353,344,97.5,1,3,Matches
Youssef En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,15.4,469,21,38,211,248,71,458,17,35,48.6,19,3,253,1686,998,744,335,45.0,42,26,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,22,1997,8.8,261,9,29,145,103,43,248,6,14,42.9,6,0,136,855,498,345,188,54.5,24,18,Matches
Björn Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,16.1,776,154,489,310,34,13,757,2,2,100.0,2,0,435,2540,1449,469,461,98.3,0,2,Matches
Sergi Enrich,es ESP,FW,Eibar,es La Liga,29,1990,20.7,746,14,49,342,374,84,717,9,12,75.0,10,3,357,1309,351,1062,527,49.6,61,27,Matches
Javier Eraso,es ESP,"MF,FW",Leganés,es La Liga,29,1990,9.1,387,5,37,195,172,29,358,3,5,60.0,3,1,239,1092,488,355,251,70.7,20,25,Matches
Christian Eriksen,dk DEN,"MF,FW",Tottenham,eng Premier League,27,1992,12.2,868,17,136,430,350,21,779,3,12,25.0,3,0,554,2673,1495,679,573,84.4,17,14,Matches
Christian Eriksen,dk DEN,MF,Inter,it Serie A,27,1992,7.8,531,1,53,275,225,25,467,6,10,60.0,6,0,337,1542,732,451,378,83.8,11,10,Matches
Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,18.6,851,32,134,530,226,33,833,18,24,75.0,21,0,424,2167,933,512,431,84.2,14,13,Matches
Aarón Escandell,es ESP,GK,Granada,es La Liga,23,1995,3.0,133,114,132,1,0,0,95,0,0,,0,0,68,425,285,45,45,100.0,0,0,Matches
Sergio Escudero,es ESP,DF,Sevilla,es La Liga,29,1989,8.6,707,29,236,350,150,12,610,7,11,63.6,8,1,406,1703,1043,452,418,92.5,7,8,Matches
Espeto,br BRA,"DF,MF",SPAL,it Serie A,22,1997,22.2,1180,20,230,515,517,68,1100,49,82,59.8,51,2,896,5209,3098,925,776,83.9,32,38,Matches
Bernardo Espinosa,co COL,DF,Espanyol,es La Liga,30,1989,25.1,1335,176,785,537,67,40,1299,1,1,100.0,1,0,617,3076,1438,745,701,94.1,12,3,Matches
Sebastiano Esposito,it ITA,FW,Inter,it Serie A,17,2002,2.2,103,0,13,32,64,21,94,1,4,25.0,2,0,63,220,93,112,65,58.0,6,5,Matches
Esquerdo,es ESP,MF,Valencia,es La Liga,20,1999,0.2,17,1,5,9,5,0,17,0,1,0.0,0,0,14,83,10,16,13,81.3,3,2,Matches
Alexander Esswein,de GER,"FW,MF",Hertha BSC,de Bundesliga,29,1990,2.4,129,9,41,59,39,6,122,2,3,66.7,2,1,68,430,255,94,80,85.1,3,0,Matches
Pervis Estupiñán,ec ECU,DF,Osasuna,es La Liga,21,1998,33.1,2256,102,611,1143,675,46,1873,62,107,57.9,67,3,1360,9113,6089,1348,1193,88.5,58,52,Matches
Oghenekaro Etebo,ng NGA,MF,Getafe,es La Liga,23,1995,6.4,293,6,58,161,95,13,289,6,9,66.7,6,0,187,1140,605,194,162,83.5,10,9,Matches
Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,32,1987,4.4,235,8,34,153,57,4,203,0,1,0.0,1,0,124,457,227,141,129,91.5,2,4,Matches
Xabier Etxeita,es ESP,DF,Getafe,es La Liga,31,1987,16.1,581,64,252,309,30,11,564,0,0,,0,0,154,790,365,173,168,97.1,0,1,Matches
Antony Evans,eng ENG,"MF,DF",Paderborn 07,de Bundesliga,20,1998,1.7,95,5,25,33,43,3,80,2,4,50.0,3,0,44,286,135,58,48,82.8,0,5,Matches
Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,31,1988,37.6,2810,399,1484,1373,104,39,2732,9,10,90.0,9,0,1775,9493,5297,1905,1871,98.2,6,7,Matches
Edu Expósito,es ESP,MF,Eibar,es La Liga,22,1996,25.7,1175,33,194,733,320,25,1154,26,36,72.2,26,0,752,3970,1813,758,672,88.7,23,22,Matches
Valentin Eysseric,fr FRA,FW,Hellas Verona,it Serie A,27,1992,1.9,98,1,9,40,55,5,87,2,5,40.0,2,0,61,350,154,93,68,73.1,4,6,Matches
Valentin Eysseric,fr FRA,MF,Fiorentina,it Serie A,27,1992,0.5,31,0,0,16,18,4,28,1,1,100.0,1,0,25,173,113,27,22,81.5,2,1,Matches
Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,34,1985,23.5,728,656,728,0,0,0,465,1,1,100.0,1,0,305,1973,1009,229,226,98.7,1,0,Matches
Fabinho,br BRA,MF,Liverpool,eng Premier League,25,1993,23.1,1735,42,379,1114,326,13,1715,10,12,83.3,11,1,1136,5164,2355,1257,1205,95.9,11,12,Matches
Fábio,br BRA,DF,Nantes,fr Ligue 1,29,1990,9.3,638,23,193,333,152,4,534,6,6,100.0,6,0,348,2025,1355,375,355,94.7,8,7,Matches
Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,32,1987,10.3,825,18,125,457,284,27,763,6,8,75.0,6,0,556,2082,1112,739,652,88.2,9,6,Matches
Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,1.0,35,32,35,0,0,0,23,0,0,,0,0,15,61,23,14,14,100.0,1,0,Matches
Ralf Fährmann,de GER,GK,Norwich City,eng Premier League,30,1988,0.2,12,11,11,1,0,0,9,0,0,,0,0,4,18,13,4,4,100.0,0,0,Matches
Fayçal Fajr,ma MAR,MF,Getafe,es La Liga,30,1988,4.5,227,2,28,113,97,4,187,2,2,100.0,2,1,117,407,162,139,111,79.9,3,2,Matches
Luca Falbo,it ITA,DF,Lazio,it Serie A,19,2000,0.0,2,0,2,0,0,0,2,0,0,,0,0,1,12,0,1,1,100.0,0,0,Matches
Filippo Falco,it ITA,"FW,MF",Lecce,it Serie A,27,1992,20.7,1187,4,112,591,611,59,1078,53,74,71.6,54,4,980,7625,4536,1081,914,84.6,27,42,Matches
Eliseo Falcon,es ESP,"DF,MF",Levante,es La Liga,22,1997,0.8,28,6,15,13,2,0,26,2,2,100.0,2,0,23,173,92,19,19,100.0,0,0,Matches
Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,27,1992,1.0,74,12,53,25,2,2,70,1,1,100.0,1,0,33,252,148,38,35,92.1,0,0,Matches
Iago Falque,es ESP,"MF,FW",Torino,it Serie A,29,1990,1.1,76,0,3,43,32,5,72,3,4,75.0,3,0,61,433,180,66,59,89.4,1,2,Matches
Iago Falque,es ESP,MF,Genoa,it Serie A,29,1990,5.6,356,4,29,189,167,22,333,13,19,68.4,13,3,277,2198,1063,322,264,82.0,9,8,Matches
Akin Famewo,eng ENG,MF,Norwich City,eng Premier League,20,1998,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,Matches
Andri Fannar Baldursson,is ISL,MF,Bologna,it Serie A,17,2002,1.1,56,3,14,25,18,2,56,1,2,50.0,1,0,39,161,74,49,38,77.6,0,4,Matches
Paolo Faragò,it ITA,DF,Cagliari,it Serie A,26,1993,12.9,975,85,334,442,260,19,841,8,13,61.5,9,0,550,3459,2180,623,572,91.8,8,9,Matches
Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,27,1991,33.9,2042,178,562,924,644,64,1744,41,69,59.4,43,6,1131,5189,2829,1248,1092,87.5,32,21,Matches
Mohamed Fares,dz ALG,"MF,DF",SPAL,it Serie A,23,1996,3.3,171,11,40,86,53,3,160,4,7,57.1,4,0,114,511,290,140,120,85.7,9,4,Matches
Diego Farias,br BRA,"FW,MF",Lecce,it Serie A,29,1990,9.2,477,8,70,197,245,55,452,24,36,66.7,27,2,372,2766,1711,446,362,81.2,19,17,Matches
Ansu Fati,es ESP,"FW,DF",Barcelona,es La Liga,16,2002,11.4,724,8,41,238,503,110,708,23,56,41.1,26,1,590,4224,2860,702,600,85.5,34,22,Matches
Julien Faussurier,fr FRA,DF,Brest,fr Ligue 1,32,1987,22.0,1502,94,501,666,433,35,1215,6,18,33.3,6,1,812,4076,2301,969,842,86.9,20,16,Matches
Andrea Favilli,it ITA,FW,Genoa,it Serie A,22,1997,7.1,279,7,19,143,140,34,266,6,11,54.5,6,0,170,1267,642,371,216,58.2,28,16,Matches
Federico Fazio,ar ARG,DF,Roma,it Serie A,32,1987,12.5,733,99,341,393,37,11,706,9,12,75.0,10,2,445,2411,1287,485,470,96.9,2,3,Matches
Aleix Febas,es ESP,MF,Mallorca,es La Liga,23,1996,18.8,906,9,150,523,292,42,889,30,48,62.5,30,2,716,4027,2120,819,671,81.9,32,43,Matches
Zouhair Feddal,ma MAR,DF,Betis,es La Liga,30,1989,15.9,1236,177,671,611,35,16,1193,4,5,80.0,4,0,793,4412,2480,881,866,98.3,5,4,Matches
Ljubomir Fejsa,rs SRB,MF,Alavés,es La Liga,30,1988,8.7,357,24,110,219,36,0,355,3,4,75.0,4,0,178,685,132,196,178,90.8,2,3,Matches
Nabil Fekir,fr FRA,"MF,FW",Betis,es La Liga,26,1993,29.3,1524,16,153,784,732,147,1472,84,127,66.1,87,3,1289,9023,5331,1486,1197,80.6,68,74,Matches
Felipe,br BRA,DF,Atlético Madrid,es La Liga,30,1989,23.4,1175,174,636,552,45,28,1144,4,5,80.0,4,1,607,3700,1500,662,631,95.3,4,2,Matches
Luiz Felipe,br BRA,DF,Lazio,it Serie A,22,1997,20.6,1280,194,619,675,104,17,1242,6,9,66.7,7,1,858,7032,3852,896,882,98.4,8,10,Matches
Lucas Felippe,br BRA,"MF,DF",Hellas Verona,it Serie A,19,2000,0.3,25,0,4,15,8,0,25,0,0,,0,0,20,142,74,19,18,94.7,0,1,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,21,1997,21.8,1193,264,798,431,35,12,1170,4,5,80.0,4,0,658,4547,2248,638,624,97.8,5,12,Matches
