player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_touches_touches,header_touches_touches_def_pen_area,header_touches_touches_def_3rd,header_touches_touches_mid_3rd,header_touches_touches_att_3rd,header_touches_touches_att_pen_area,header_touches_touches_live_ball,header_dribbles_dribbles_completed,header_dribbles_dribbles,header_dribbles_dribbles_completed_pct,header_dribbles_players_dribbled_past,header_dribbles_nutmegs,header_carries_carries,header_carries_carry_distance,header_carries_carry_progressive_distance,header_receiving_pass_targets,header_receiving_passes_received,header_receiving_passes_received_pct,miscontrols,dispossessed,matches
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,926,35,225,465,292,22,816,15,26,57.7,17,0,624,3148,1858,649,601,92.6,8,15,Matches
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.5,129,9,32,85,26,1,128,0,1,0.0,0,0,95,634,267,116,90,77.6,4,3,Matches
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,409,15,87,277,70,12,405,10,13,76.9,12,0,277,1465,733,306,269,87.9,13,10,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1518,213,835,711,50,11,1475,11,15,73.3,12,0,962,5392,2312,954,934,97.9,5,8,Matches
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,22.5,1440,74,417,718,419,34,1214,56,92,60.9,59,1,903,6610,4111,917,837,91.3,19,27,Matches
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,470,12,79,362,47,1,463,6,12,50.0,7,0,334,1354,688,365,346,94.8,7,6,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,996,39,310,491,269,16,846,19,41,46.3,22,2,617,3810,2409,609,565,92.8,20,20,Matches
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,75,16,64,24,37.5,5,3,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,755,22,52,415,315,110,731,14,27,51.9,15,1,404,1900,874,977,580,59.4,73,23,Matches
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2161,235,1146,1087,82,15,2093,8,12,66.7,9,1,1589,9126,4667,1683,1657,98.5,10,6,Matches
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,43,1,8,20,17,2,41,3,4,75.0,3,0,35,246,133,46,28,60.9,2,2,Matches
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1508,278,920,596,86,34,1455,5,5,100.0,5,0,845,5266,2910,948,900,94.9,7,5,Matches
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,281,5,50,146,105,15,278,11,19,57.9,12,0,224,1065,607,256,196,76.6,6,14,Matches
Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,908,147,527,407,31,1,882,3,4,75.0,3,0,622,3094,1682,637,619,97.2,3,11,Matches
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2662,194,1068,1590,248,14,2555,6,10,60.0,7,0,2026,13997,7669,2099,2068,98.5,9,4,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,991,44,308,470,282,25,801,19,33,57.6,19,2,540,3251,2164,557,508,91.2,14,12,Matches
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,466,6,26,221,246,89,436,16,21,76.2,17,1,284,1344,449,655,349,53.3,36,21,Matches
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2324,76,476,1119,832,65,2127,10,20,50.0,12,2,1618,6406,3327,1907,1763,92.4,10,7,Matches
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,32.6,2482,20,306,1358,1132,101,2226,68,100,68.0,72,4,1940,15047,10101,2011,1807,89.9,48,59,Matches
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,2261,403,1368,969,51,21,2209,3,3,100.0,3,0,1325,7872,4483,1509,1492,98.9,1,1,Matches
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,622,13,111,258,295,23,587,10,29,34.5,13,2,420,2558,1176,495,429,86.7,9,12,Matches
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,316,9,28,149,148,46,291,4,8,50.0,4,1,171,782,415,389,221,56.8,17,7,Matches
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,167,2,8,73,89,31,150,4,7,57.1,5,1,85,253,112,231,116,50.2,13,8,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,2018,49,398,1386,350,26,1962,59,70,84.3,61,0,1536,7066,3397,1576,1515,96.1,13,20,Matches
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,1330,77,349,890,170,15,1236,21,29,72.4,21,1,828,4730,2457,811,743,91.6,14,14,Matches
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2265,353,1224,1038,114,22,2185,0,2,0.0,0,0,1362,6528,3056,1535,1500,97.7,3,2,Matches
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1436,84,442,758,319,20,1209,19,32,59.4,22,2,778,3835,1987,830,763,91.9,15,24,Matches
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,49,0,2,27,22,4,49,1,2,50.0,1,0,21,166,80,68,40,58.8,5,2,Matches
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,170,1,18,109,56,2,165,2,3,66.7,2,0,131,596,250,157,146,93.0,4,0,Matches
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,469,5,64,310,133,11,465,16,23,69.6,16,0,396,2276,1174,436,380,87.2,5,9,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,351,310,351,0,0,0,246,1,1,100.0,1,0,162,549,279,146,145,99.3,0,1,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,3520,105,848,1641,1246,63,2865,26,56,46.4,30,4,2108,9334,5698,2362,2230,94.4,36,22,Matches
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,85,69,85,0,0,0,48,0,0,,0,0,29,133,77,24,23,95.8,0,0,Matches
Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,656,14,38,312,335,79,610,23,30,76.7,25,1,419,2190,1064,851,496,58.3,42,26,Matches
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,984,804,976,9,0,0,760,0,0,,0,0,549,2115,1090,494,490,99.2,1,0,Matches
Allan,br BRA,MF,Napoli,it Serie A,28,1991,13.9,980,23,195,607,244,17,952,17,28,60.7,19,3,726,3700,1778,765,714,93.3,14,18,Matches
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,1132,37,171,575,471,96,1076,32,63,50.8,36,7,747,4583,2502,1102,773,70.1,45,56,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,1309,44,314,553,602,90,1297,46,93,49.5,54,5,975,9236,5220,1281,894,69.8,60,54,Matches
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,1313,30,326,563,511,72,1146,12,19,63.2,12,0,842,4762,2735,928,829,89.3,20,22,Matches
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,945,65,335,474,201,11,779,18,30,60.0,22,3,503,3110,1838,539,485,90.0,16,15,Matches
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,55,51,55,0,0,0,33,0,0,,0,0,23,62,39,23,23,100.0,0,0,Matches
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,569,29,142,381,73,7,560,6,9,66.7,6,0,296,1465,506,297,278,93.6,4,1,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1817,198,904,969,69,20,1754,11,13,84.6,11,1,992,6375,3552,1037,1021,98.5,3,10,Matches
Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,28.2,1537,302,892,660,81,36,1442,2,3,66.7,2,0,838,5351,2910,965,942,97.6,4,1,Matches
Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,838,31,215,406,272,44,787,33,50,66.0,35,4,618,3821,2140,638,557,87.3,20,28,Matches
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,470,107,329,143,14,4,464,2,3,66.7,2,0,253,1003,474,297,289,97.3,1,1,Matches
Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,343,7,71,225,67,6,341,3,4,75.0,3,0,207,1037,489,250,217,86.8,5,5,Matches
Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,1092,36,289,732,168,8,1071,28,43,65.1,31,0,779,4929,2625,773,727,94.0,16,15,Matches
Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,36,0,2,17,20,4,34,4,8,50.0,4,0,28,212,136,32,20,62.5,3,5,Matches
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1590,78,552,769,379,32,1379,28,56,50.0,32,0,876,5645,3378,945,865,91.5,27,24,Matches
Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,312,4,30,138,174,34,310,24,45,53.3,27,1,256,2250,1510,304,229,75.3,20,25,Matches
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,837,84,312,418,189,12,697,8,18,44.4,9,1,475,3751,2285,480,434,90.4,14,14,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,1374,15,187,769,526,57,1221,32,54,59.3,35,2,970,6045,3310,1130,933,82.6,29,32,Matches
Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,93,14,42,52,3,1,92,0,0,,0,0,69,369,237,69,69,100.0,0,0,Matches
Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,205,4,30,80,117,26,200,18,41,43.9,21,0,179,1284,866,234,142,60.7,23,14,Matches
Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,30.5,1929,58,392,1326,429,25,1863,80,106,75.5,85,3,1493,12460,5779,1441,1324,91.9,52,48,Matches
Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1476,211,837,714,47,13,1449,2,2,100.0,2,0,1043,5919,3475,1134,1123,99.0,2,1,Matches
Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,92,6,36,31,33,4,73,2,5,40.0,2,0,54,510,259,57,44,77.2,4,4,Matches
Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,1163,26,166,616,517,68,1138,66,97,68.0,70,5,932,7366,4575,1042,889,85.3,33,35,Matches
Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,1211,46,98,584,575,135,1185,25,42,59.5,27,2,635,3672,1394,1710,932,54.5,106,78,Matches
Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,29,3,4,12,16,7,28,2,4,50.0,2,0,17,218,151,33,16,48.5,5,2,Matches
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,1515,55,287,1030,276,23,1499,23,27,85.2,25,0,951,5145,2235,1007,927,92.1,17,23,Matches
Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,3.9,115,108,115,0,0,0,60,0,0,,0,0,32,137,102,17,17,100.0,0,0,Matches
Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1547,61,371,923,333,33,1511,27,38,71.1,30,3,861,4851,2001,934,842,90.1,19,24,Matches
Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,719,11,142,517,121,3,698,18,21,85.7,18,0,567,3461,1751,537,502,93.5,11,12,Matches
Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,276,4,14,160,111,24,258,11,16,68.8,12,0,154,636,241,390,211,54.1,18,14,Matches
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,490,419,489,3,0,0,357,2,2,100.0,2,0,245,1002,469,218,218,100.0,0,0,Matches
José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1754,97,443,942,486,11,1380,20,24,83.3,20,1,913,5389,2849,864,812,94.0,19,19,Matches
Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,891,26,215,401,325,26,742,21,27,77.8,22,1,519,2682,1514,591,532,90.0,17,9,Matches
Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,477,16,98,199,214,10,429,5,8,62.5,5,2,321,1545,942,361,343,95.0,3,4,Matches
Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,12,0,1,5,6,2,12,1,1,100.0,1,0,10,67,40,11,8,72.7,0,1,Matches
Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,10.3,678,30,209,288,221,22,609,12,18,66.7,12,0,463,2104,1339,511,464,90.8,8,9,Matches
Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,18.3,1012,50,262,404,429,49,866,47,78,60.3,52,2,686,5640,3147,692,595,86.0,21,35,Matches
Janis Antiste,fr FRA,FW,Toulouse,fr Ligue 1,16,2002,0.1,,,,,,,,,,,,,,,,,,,,,Matches
Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,851,12,47,305,556,126,811,72,108,66.7,75,3,602,4523,2699,1134,626,55.2,71,49,Matches
Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,574,37,199,261,150,10,478,6,16,37.5,8,1,308,2090,1286,355,305,85.9,10,5,Matches
Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,40,0,7,16,20,6,40,0,0,,0,0,22,159,109,29,21,72.4,5,0,Matches
Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,3,0,1,1,1,0,3,0,0,,0,0,1,11,11,2,2,100.0,1,0,Matches
Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,1181,24,207,546,546,91,1044,36,80,45.0,41,3,803,7484,4372,1031,745,72.3,59,39,Matches
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,127,3,27,94,16,2,125,2,3,66.7,2,0,83,716,347,94,83,88.3,1,3,Matches
Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,1366,16,140,876,486,66,1325,65,104,62.5,72,5,1118,7663,4713,1291,1100,85.2,45,58,Matches
Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,40,0,7,23,12,1,40,3,3,100.0,3,0,28,133,49,36,29,80.6,4,0,Matches
Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,1158,54,432,556,214,6,967,21,27,77.8,21,0,619,3117,1656,640,598,93.4,9,18,Matches
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,1363,54,241,851,349,26,1318,29,43,67.4,32,2,748,4738,1975,722,613,84.9,35,39,Matches
Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,68,2,26,25,20,3,58,0,2,0.0,1,1,44,243,128,42,39,92.9,1,1,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1868,49,375,1297,290,22,1836,13,22,59.1,14,1,1242,5362,2410,1451,1350,93.0,19,21,Matches
Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,447,4,53,184,250,35,427,26,38,68.4,27,2,336,2535,1498,373,296,79.4,13,16,Matches
Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1824,329,1081,816,51,20,1763,1,1,100.0,1,0,1065,7578,3729,1149,1133,98.6,6,4,Matches
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,233,33,120,125,2,1,229,1,1,100.0,1,0,173,744,457,186,186,100.0,0,1,Matches
Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1412,106,524,820,169,11,1266,4,6,66.7,4,0,751,5486,2419,740,714,96.5,8,10,Matches
Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,142,125,142,0,0,0,104,0,0,,0,0,77,342,190,62,62,100.0,0,1,Matches
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,60,45,59,1,0,0,48,0,0,,0,0,37,152,87,30,28,93.3,0,0,Matches
Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,780,47,216,362,243,19,667,4,7,57.1,5,0,437,2105,1150,488,449,92.0,7,4,Matches
Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,4,1,3,1,0,0,4,0,0,,0,0,1,7,0,2,2,100.0,0,0,Matches
Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,882,47,167,412,368,49,863,31,53,58.5,33,2,593,4281,2315,732,560,76.5,37,29,Matches
José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,304,4,26,145,146,37,291,3,8,37.5,3,0,197,1302,639,359,207,57.7,31,25,Matches
José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,24,1995,3.7,169,4,19,69,97,17,164,13,23,56.5,14,0,148,1302,845,152,113,74.3,16,14,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,1860,59,359,1108,495,24,1598,22,30,73.3,22,0,1065,5536,2845,1151,1057,91.8,22,28,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,1133,1002,1128,5,0,0,881,0,0,,0,0,681,2609,1488,646,646,100.0,0,0,Matches
