player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_standard_goals,header_standard_pens_made,header_standard_pens_att,header_standard_shots_total,header_standard_shots_on_target,header_standard_shots_free_kicks,header_standard_shots_on_target_pct,header_standard_shots_total_per90,header_standard_shots_on_target_per90,header_standard_goals_per_shot,header_standard_goals_per_shot_on_target,header_expected_xg,header_expected_npxg,header_expected_npxg_per_shot,header_expected_xg_net,header_expected_npxg_net,matches
Jaume Cuéllar,bo BOL,MF,SPAL,it Serie A,17,2001,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,19,1999,3.4,1,0,0,12,1,1,8.3,3.52,0.29,0.08,1.00,0.6,0.6,0.05,+0.4,+0.4,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,20,1999,8.3,6,0,0,35,15,1,42.9,4.23,1.81,0.17,0.40,3.3,3.3,0.10,+2.7,+2.7,Matches
Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,20,1999,3.1,0,0,0,16,7,0,43.8,5.16,2.26,0.00,0.00,2.1,2.1,0.13,-2.1,-2.1,Matches
Felipe Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,8.3,4,0,0,19,10,0,52.6,2.29,1.20,0.21,0.40,3.4,3.4,0.18,+0.6,+0.6,Matches
Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,2,0,0,11,3,0,27.3,3.33,0.91,0.18,0.67,2.3,2.3,0.21,-0.3,-0.3,Matches
Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,7,5,5,53,15,20,28.3,2.69,0.76,0.04,0.13,6.3,2.5,0.05,+0.7,-0.5,Matches
Rafael Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,1,0,0,11,6,0,54.5,0.45,0.24,0.09,0.17,1.5,1.5,0.13,-0.5,-0.5,Matches
Lennart-Marten Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Marco D'Alessandro,it ITA,"DF,MF",SPAL,it Serie A,28,1991,7.2,1,0,0,3,1,0,33.3,0.41,0.14,0.33,1.00,0.1,0.1,0.05,+0.9,+0.9,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,1988,13.7,2,0,0,5,2,0,40.0,0.36,0.15,0.40,1.00,1.3,1.3,0.26,+0.7,+0.7,Matches
Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2000,0.0,0,0,0,1,0,0,0.0,30.00,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,0,0,0,2,0,0,0.0,2.50,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,1,0,0,6,3,0,50.0,0.24,0.12,0.17,0.33,0.5,0.5,0.09,+0.5,+0.5,Matches
Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,10.5,1,0,0,8,3,0,37.5,0.76,0.29,0.13,0.33,0.8,0.8,0.12,+0.2,+0.2,Matches
Moanes Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,4,0,0,23,10,0,43.5,2.70,1.17,0.17,0.40,3.2,3.2,0.14,+0.8,+0.8,Matches
Moanes Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,0,0,0,2,0,0,0.0,6.92,0.00,0.00,,0.2,0.2,0.08,-0.2,-0.2,Matches
Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,0,0,0,2,0,0,0.0,0.27,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,6.2,0,0,0,13,4,0,30.8,2.10,0.65,0.00,0.00,1.2,1.2,0.09,-1.2,-1.2,Matches
Leon Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,1984,11.1,0,0,0,6,2,0,33.3,0.54,0.18,0.00,0.00,0.6,0.6,0.11,-0.6,-0.6,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,0.7,0,0,0,1,0,0,0.0,1.34,0.00,0.00,,0.1,0.1,0.15,-0.1,-0.1,Matches
Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,1.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Danilo,br BRA,DF,Juventus,it Serie A,28,1991,15.0,2,0,0,13,4,0,30.8,0.87,0.27,0.15,0.50,0.7,0.7,0.06,+1.3,+1.3,Matches
Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,14.1,0,0,0,8,2,0,25.0,0.57,0.14,0.00,0.00,0.5,0.5,0.06,-0.5,-0.5,Matches
Kevin Danso,at AUT,DF,Southampton,eng Premier League,20,1998,3.1,0,0,0,1,0,0,0.0,0.32,0.00,0.00,,0.1,0.1,0.09,-0.1,-0.1,Matches
Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21.0,1,0,0,19,6,1,31.6,0.90,0.29,0.05,0.17,1.2,1.2,0.06,-0.2,-0.2,Matches
Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Sergi Darder,es ESP,"MF,FW",Espanyol,es La Liga,25,1993,29.5,2,0,0,52,9,0,17.3,1.76,0.30,0.04,0.22,2.8,2.8,0.05,-0.8,-0.8,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,25.1,3,0,0,43,14,0,32.6,1.72,0.56,0.07,0.21,3.3,3.3,0.08,-0.3,-0.3,Matches
Matteo Darmian,it ITA,DF,Parma,it Serie A,29,1989,27.8,1,0,0,7,2,0,28.6,0.25,0.07,0.14,0.50,0.7,0.7,0.10,+0.3,+0.3,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,24.8,3,0,0,12,5,0,41.7,0.48,0.20,0.25,0.60,2.1,2.1,0.18,+0.9,+0.9,Matches
Ben Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,15.9,0,0,0,7,1,0,14.3,0.44,0.06,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
Tom Davies,eng ENG,MF,Everton,eng Premier League,21,1998,22.5,1,0,0,17,5,0,29.4,0.75,0.22,0.06,0.20,2.0,2.0,0.12,-1.0,-1.0,Matches
Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,6.1,0,0,0,16,5,0,31.3,2.63,0.82,0.00,0.00,2.2,2.2,0.13,-2.2,-2.2,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,7.7,1,0,0,4,1,0,25.0,0.52,0.13,0.25,1.00,0.3,0.3,0.08,+0.7,+0.7,Matches
Craig Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,26.2,2,0,0,23,7,0,30.4,0.88,0.27,0.09,0.29,2.3,2.3,0.11,-0.3,-0.3,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,31.0,13,2,2,96,27,11,28.1,3.10,0.87,0.11,0.41,7.9,6.4,0.07,+5.1,+4.6,Matches
Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,32,1987,15.7,0,0,0,8,3,0,37.5,0.51,0.19,0.00,0.00,0.9,0.9,0.11,-0.9,-0.9,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,25,1994,29.4,7,0,0,82,28,3,34.1,2.79,0.95,0.09,0.25,5.0,5.0,0.06,+2.0,+2.0,Matches
Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,5.2,0,0,0,1,0,0,0.0,0.19,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,31,1988,24.9,0,0,0,23,5,0,21.7,0.92,0.20,0.00,0.00,2.2,2.2,0.09,-2.2,-2.2,Matches
Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,14.8,2,0,0,15,5,0,33.3,1.01,0.34,0.13,0.40,1.2,1.2,0.08,+0.8,+0.8,Matches
Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,19.7,1,0,0,12,3,0,25.0,0.61,0.15,0.08,0.33,0.8,0.8,0.06,+0.2,+0.2,Matches
Troy Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,24.7,10,5,6,38,16,0,42.1,1.54,0.65,0.13,0.31,9.8,5.3,0.14,+0.2,-0.3,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,28,1991,10.9,3,1,1,20,8,0,40.0,1.84,0.73,0.10,0.25,3.3,2.5,0.13,-0.3,-0.5,Matches
Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Alessandro Deiola,it ITA,MF,Lecce,it Serie A,23,1995,8.0,1,0,0,9,2,0,22.2,1.13,0.25,0.11,0.50,0.4,0.4,0.05,+0.6,+0.6,Matches
Romain Del Castillo,fr FRA,"FW,MF",Rennes,fr Ligue 1,23,1996,13.8,2,1,1,27,9,0,33.3,1.96,0.65,0.04,0.11,2.4,1.6,0.06,-0.4,-0.6,Matches
Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,27,1992,13.9,0,0,0,7,4,0,57.1,0.50,0.29,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches
Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,1991,9.2,0,0,0,3,0,0,0.0,0.33,0.00,0.00,,0.5,0.5,0.17,-0.5,-0.5,Matches
Paul Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,1.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Cristian Dell'Orco,it ITA,DF,Lecce,it Serie A,25,1994,10.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,1991,25.3,9,0,2,83,28,1,33.7,3.28,1.11,0.11,0.32,11.1,9.5,0.12,-2.1,-0.5,Matches
Fabian Delph,eng ENG,MF,Everton,eng Premier League,29,1989,13.2,0,0,0,3,0,0,0.0,0.23,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,23,1996,24.3,16,4,5,51,21,0,41.2,2.10,0.86,0.24,0.57,11.1,7.3,0.14,+4.9,+4.7,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,22,1997,4.0,1,0,0,5,2,0,40.0,1.26,0.50,0.20,0.50,1.1,1.1,0.22,-0.1,-0.1,Matches
Merih Demiral,tr TUR,DF,Juventus,it Serie A,21,1998,4.2,1,0,0,2,1,0,50.0,0.48,0.24,0.50,1.00,0.4,0.4,0.18,+0.6,+0.6,Matches
Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,17.5,1,0,0,30,8,1,26.7,1.72,0.46,0.03,0.13,2.9,2.9,0.10,-1.9,-1.9,Matches
Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,13.5,0,0,0,4,2,0,50.0,0.30,0.15,0.00,0.00,0.3,0.3,0.09,-0.3,-0.3,Matches
Diego Demme,de GER,MF,Napoli,it Serie A,27,1991,8.9,1,0,0,4,1,0,25.0,0.45,0.11,0.25,1.00,0.3,0.3,0.07,+0.7,+0.7,Matches
Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,23.7,0,0,0,5,2,0,40.0,0.21,0.08,0.00,0.00,0.7,0.7,0.14,-0.7,-0.7,Matches
Leander Dendoncker,be BEL,"MF,DF",Wolves,eng Premier League,24,1995,31.1,4,0,0,20,5,0,25.0,0.64,0.16,0.20,0.80,1.7,1.7,0.08,+2.3,+2.3,Matches
Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,2000,6.7,3,0,0,20,7,0,35.0,2.99,1.04,0.15,0.43,1.8,1.8,0.09,+1.2,+1.2,Matches
Stefano Denswil,nl NED,DF,Bologna,it Serie A,26,1993,22.9,0,0,0,8,1,0,12.5,0.35,0.04,0.00,0.00,0.9,0.9,0.12,-0.9,-0.9,Matches
Fabio Depaoli,it ITA,"MF,DF",Sampdoria,it Serie A,22,1997,19.1,0,0,0,27,4,0,14.8,1.41,0.21,0.00,0.00,1.4,1.4,0.05,-1.4,-1.4,Matches
Memphis Depay,nl NED,"FW,MF",Lyon,fr Ligue 1,25,1994,11.3,9,1,1,46,19,7,41.3,4.07,1.68,0.17,0.42,5.0,4.2,0.09,+4.0,+3.8,Matches
Kastriot Dermaku,al ALB,DF,Parma,it Serie A,27,1992,9.9,0,0,0,2,2,0,100.0,0.20,0.20,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1,Matches
Daniele Dessena,it ITA,MF,Brescia,it Serie A,32,1987,19.8,2,0,0,18,5,0,27.8,0.91,0.25,0.11,0.40,1.4,1.4,0.08,+0.6,+0.6,Matches
Mattia Destro,it ITA,FW,Bologna,it Serie A,28,1991,2.1,0,0,0,4,2,0,50.0,1.95,0.97,0.00,0.00,0.4,0.4,0.10,-0.4,-0.4,Matches
Mattia Destro,it ITA,"FW,MF",Genoa,it Serie A,28,1991,1.7,0,0,0,7,4,0,57.1,4.20,2.40,0.00,0.00,0.5,0.5,0.07,-0.5,-0.5,Matches
Gerard Deulofeu,es ESP,FW,Watford,eng Premier League,25,1994,23.3,4,1,1,63,22,8,34.9,2.70,0.94,0.05,0.14,5.3,4.5,0.07,-1.3,-1.5,Matches
Deyverson,br BRA,FW,Getafe,es La Liga,28,1991,2.3,0,0,0,4,1,1,25.0,1.76,0.44,0.00,0.00,0.6,0.6,0.15,-0.6,-0.6,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,30,1988,13.0,6,1,2,26,11,0,42.3,1.99,0.84,0.19,0.45,5.2,3.7,0.14,+0.8,+1.3,Matches
Federico Di Francesco,it ITA,FW,SPAL,it Serie A,25,1994,11.7,2,0,0,21,7,1,33.3,1.79,0.60,0.10,0.29,2.4,2.4,0.12,-0.4,-0.4,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,25,1993,32.0,3,0,0,22,6,0,27.3,0.69,0.19,0.14,0.50,3.2,3.2,0.14,-0.2,-0.2,Matches
Ángel Di María,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,31,1988,22.2,8,1,2,73,22,8,30.1,3.29,0.99,0.10,0.32,9.5,8.0,0.11,-1.5,-1.0,Matches
Boulaye Dia,fr FRA,FW,Reims,fr Ligue 1,22,1996,20.1,7,1,1,39,18,0,46.2,1.94,0.89,0.15,0.33,5.2,4.5,0.12,+1.8,+1.5,Matches
Fousseni Diabaté,ml MLI,"FW,MF",Amiens,fr Ligue 1,23,1995,13.2,1,0,0,7,2,0,28.6,0.53,0.15,0.14,0.50,0.9,0.9,0.13,+0.1,+0.1,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,de Bundesliga,20,1999,19.7,5,0,0,41,23,0,56.1,2.08,1.17,0.12,0.22,4.7,4.7,0.11,+0.3,+0.3,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,es La Liga,22,1996,16.0,0,0,0,1,1,0,100.0,0.06,0.06,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1,Matches
Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,18,2001,15.2,2,0,0,11,5,0,45.5,0.72,0.33,0.18,0.40,2.0,2.0,0.19,0.0,0.0,Matches
Abdou Diallo,fr FRA,DF,Paris S-G,fr Ligue 1,23,1996,13.3,0,0,0,5,2,0,40.0,0.37,0.15,0.00,0.00,0.9,0.9,0.18,-0.9,-0.9,Matches
Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,24,1995,24.4,12,1,3,72,26,1,36.1,2.95,1.07,0.15,0.42,10.4,8.1,0.11,+1.6,+2.9,Matches
Ibrahima Diallo,fr FRA,MF,Brest,fr Ligue 1,20,1999,17.3,0,0,0,5,2,0,40.0,0.29,0.12,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
Moussa Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18,2000,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Raphael Dias Belloli,br BRA,"MF,FW",Rennes,fr Ligue 1,23,1996,18.8,5,1,1,43,15,8,34.9,2.29,0.80,0.09,0.27,6.5,5.1,0.12,-1.5,-1.1,Matches
Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Amadou Diawara,gn GUI,MF,Roma,it Serie A,22,1997,15.9,0,0,0,9,3,0,33.3,0.57,0.19,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3,Matches
Brahim Díaz,es ESP,"FW,MF",Real Madrid,es La Liga,19,1999,0.7,0,0,0,3,2,0,66.7,4.15,2.77,0.00,0.00,0.5,0.5,0.17,-0.5,-0.5,Matches
Víctor Díaz,es ESP,DF,Granada,es La Liga,31,1988,32.0,1,0,0,16,1,0,6.3,0.50,0.03,0.06,1.00,0.8,0.8,0.05,+0.2,+0.2,Matches
Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,20.8,2,0,0,5,4,0,80.0,0.24,0.19,0.40,0.50,1.0,1.0,0.21,+1.0,+1.0,Matches
Eric Dier,eng ENG,"DF,MF",Tottenham,eng Premier League,25,1994,14.9,0,0,0,8,1,1,12.5,0.54,0.07,0.00,0.00,1.1,1.1,0.13,-1.1,-1.1,Matches
Lucas Digne,fr FRA,DF,Everton,eng Premier League,26,1993,33.7,0,0,0,29,5,13,17.2,0.86,0.15,0.00,0.00,1.5,1.5,0.05,-1.5,-1.5,Matches
Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38.0,5,0,0,30,14,0,46.7,0.79,0.37,0.17,0.36,2.9,2.9,0.10,+2.1,+2.1,Matches
Mitchell Dijks,nl NED,DF,Bologna,it Serie A,26,1993,11.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Javairô Dilrosun,nl NED,"MF,FW",Hertha BSC,de Bundesliga,21,1998,14.5,4,0,0,19,6,3,31.6,1.31,0.41,0.21,0.67,2.1,2.1,0.11,+1.9,+1.9,Matches
Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,3.8,0,0,0,6,2,0,33.3,1.58,0.53,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
Federico Dimarco,it ITA,"DF,MF",Inter,it Serie A,21,1997,0.3,0,0,0,1,0,0,0.0,3.33,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,28,1991,9.9,0,0,0,9,1,0,11.1,0.91,0.10,0.00,0.00,0.4,0.4,0.04,-0.4,-0.4,Matches
Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,7.4,2,0,0,14,8,2,57.1,1.89,1.08,0.14,0.25,1.7,1.7,0.12,+0.3,+0.3,Matches
Issa Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,30.7,3,0,0,15,6,0,40.0,0.49,0.20,0.20,0.50,1.5,1.5,0.10,+1.5,+1.5,Matches
Papakouli Diop,sn SEN,MF,Eibar,es La Liga,33,1986,25.0,1,0,0,26,7,0,26.9,1.04,0.28,0.04,0.14,1.1,1.1,0.04,-0.1,-0.1,Matches
Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,1.3,0,0,0,1,1,0,100.0,0.75,0.75,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1,Matches
Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27.0,1,0,0,15,2,0,13.3,0.56,0.07,0.07,0.50,2.2,2.2,0.15,-1.2,-1.2,Matches
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,19,2000,7.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Djené,tg TOG,DF,Getafe,es La Liga,27,1991,34.0,0,0,0,5,1,0,20.0,0.15,0.03,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2,Matches
Moussa Djenepo,ml MLI,"MF,DF",Southampton,eng Premier League,21,1998,10.3,2,0,0,20,7,0,35.0,1.94,0.68,0.10,0.29,2.4,2.4,0.12,-0.4,-0.4,Matches
Koffi Djidji,ci CIV,DF,Torino,it Serie A,26,1992,8.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Alexander Djiku,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,24,1994,22.9,1,0,0,20,6,0,30.0,0.87,0.26,0.05,0.17,2.4,2.4,0.12,-1.4,-1.4,Matches
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,29.4,2,0,0,22,3,0,13.6,0.75,0.10,0.09,0.67,2.0,2.0,0.09,0.0,0.0,Matches
Naïs Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,1999,0.3,0,0,0,1,0,0,0.0,3.10,0.00,0.00,,0.1,0.1,0.07,-0.1,-0.1,Matches
Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,27,1992,35.0,0,0,0,1,1,0,100.0,0.03,0.03,0.00,0.00,0.4,0.4,0.36,-0.4,-0.4,Matches
Matt Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,31.5,4,0,0,34,15,0,44.1,1.08,0.48,0.12,0.27,5.0,5.0,0.15,-1.0,-1.0,Matches
Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,1997,21.0,11,0,0,42,25,0,59.5,2.00,1.19,0.26,0.44,7.7,7.7,0.18,+3.3,+3.3,Matches
Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,1993,1.6,0,0,0,4,2,0,50.0,2.43,1.22,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,21,1998,6.9,0,0,0,8,0,0,0.0,1.17,0.00,0.00,,0.3,0.3,0.04,-0.3,-0.3,Matches
Giulio Donati,it ITA,DF,Lecce,it Serie A,29,1990,17.6,1,0,0,8,2,0,25.0,0.46,0.11,0.13,0.50,0.5,0.5,0.06,+0.5,+0.5,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Anastasios Donis,gr GRE,"FW,MF",Reims,fr Ligue 1,22,1996,6.8,0,0,0,15,7,0,46.7,2.22,1.03,0.00,0.00,1.1,1.1,0.08,-1.1,-1.1,Matches
Alfredo Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.6,7,2,2,38,13,0,34.2,2.04,0.70,0.13,0.38,7.2,5.7,0.15,-0.2,-0.7,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,33.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,1,0,0,16,3,0,18.8,0.69,0.13,0.06,0.33,1.0,1.0,0.06,0.0,0.0,Matches
Mathieu Dossevi,tg TOG,"MF,FW",Toulouse,fr Ligue 1,31,1988,19.5,1,0,0,22,3,1,13.6,1.13,0.15,0.05,0.33,1.6,1.6,0.07,-0.6,-0.6,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,8,0,0,32,17,0,53.1,1.95,1.04,0.25,0.47,6.8,6.8,0.21,+1.2,+1.2,Matches
Abdoulaye Doucouré,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,4,0,0,62,12,0,19.4,1.77,0.34,0.06,0.33,5.3,5.3,0.09,-1.3,-1.3,Matches
Mamadou Doucouré,fr FRA,MF,M'gladbach,de Bundesliga,21,1998,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Moussa Doumbia,ml MLI,"FW,MF",Reims,fr Ligue 1,24,1994,19.1,2,1,1,41,8,3,19.5,2.15,0.42,0.02,0.13,3.2,2.4,0.06,-1.2,-1.4,Matches
Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Thomas Doyle,eng ENG,"MF,FW",Manchester City,eng Premier League,17,2001,0.2,0,0,0,1,1,0,100.0,5.63,5.63,0.00,0.00,0.1,0.1,0.09,-0.1,-0.1,Matches
Mohamed Dräger,tn TUN,DF,Paderborn 07,de Bundesliga,23,1996,16.2,1,0,0,15,3,0,20.0,0.93,0.19,0.07,0.33,1.1,1.1,0.07,-0.1,-0.1,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,28,1991,11.4,0,0,0,2,0,0,0.0,0.17,0.00,0.00,,0.5,0.5,0.25,-0.5,-0.5,Matches
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Julian Draxler,de GER,MF,Paris S-G,fr Ligue 1,25,1993,7.6,0,0,0,13,6,0,46.2,1.71,0.79,0.00,0.00,1.5,1.5,0.11,-1.5,-1.5,Matches
Dominick Drexler,de GER,"MF,FW",Köln,de Bundesliga,29,1990,17.6,3,0,0,21,8,0,38.1,1.19,0.45,0.14,0.38,2.6,2.6,0.12,+0.4,+0.4,Matches
Danny Drinkwater,eng ENG,MF,Aston Villa,eng Premier League,29,1990,2.9,0,0,0,2,0,0,0.0,0.69,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
Danny Drinkwater,eng ENG,MF,Burnley,eng Premier League,29,1990,0.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Josip Drmić,ch SUI,"FW,MF",Norwich City,eng Premier League,26,1992,7.2,1,0,0,13,5,0,38.5,1.81,0.70,0.08,0.20,2.7,2.7,0.24,-1.7,-1.7,Matches
Domingos Duarte,pt POR,DF,Granada,es La Liga,24,1995,34.3,3,0,0,10,4,0,40.0,0.29,0.12,0.30,0.75,1.2,1.2,0.12,+1.8,+1.8,Matches
Léo Duarte,br BRA,DF,Milan,it Serie A,23,1996,4.4,0,0,0,3,0,0,0.0,0.69,0.00,0.00,,0.3,0.3,0.11,-0.3,-0.3,Matches
