player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_standard_goals,header_standard_pens_made,header_standard_pens_att,header_standard_shots_total,header_standard_shots_on_target,header_standard_shots_free_kicks,header_standard_shots_on_target_pct,header_standard_shots_total_per90,header_standard_shots_on_target_per90,header_standard_goals_per_shot,header_standard_goals_per_shot_on_target,header_expected_xg,header_expected_npxg,header_expected_npxg_per_shot,header_expected_xg_net,header_expected_npxg_net,matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,0,0,0,10,1,0,10.0,0.36,0.04,0.00,0.00,0.9,0.9,0.09,-0.9,-0.9,Matches
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,22.5,0,0,0,12,2,0,16.7,0.53,0.09,0.00,0.00,0.4,0.4,0.03,-0.4,-0.4,Matches
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,0,0,0,2,0,0,0.0,0.34,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,0,0,0,4,0,0,0.0,0.28,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,0,0,0,3,0,0,0.0,1.94,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,8,1,1,44,18,0,40.9,1.92,0.79,0.16,0.39,6.5,5.7,0.13,+1.5,+1.3,Matches
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0,0,0,10,2,0,20.0,0.39,0.08,0.00,0.00,0.7,0.7,0.07,-0.7,-0.7,Matches
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,0,0,0,3,0,0,0.0,2.73,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,0,0,24,7,0,29.2,0.86,0.25,0.08,0.29,2.6,2.6,0.11,-0.6,-0.6,Matches
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,2,0,0,9,4,0,44.4,1.49,0.66,0.22,0.50,1.1,1.1,0.13,+0.9,+0.9,Matches
Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0,0,0,2,0,0,0.0,0.16,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
