player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_games_starts,header_playing_minutes,header_playing_goals,header_performance_assists,header_performance_pens_made,header_performance_pens_att,header_performance_cards_yellow,header_performance_cards_red,header_performance_goals_per90,header_per90_assists_per90,header_per90_goals_assists_per90,header_per90_goals_pens_per90,header_per90_goals_assists_pens_per90,header_per90_xg,header_expected_npxg,header_expected_xa,header_expected_xg_per90,header_per90_xa_per90,header_per90_xg_xa_per90,header_per90_npxg_per90,header_per90_npxg_xa_per90,header_per90_matches
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,13,11,924,4,1,0,0,1,0,0.39,0.10,0.49,0.39,0.49,3.3,3.3,1.5,0.32,0.15,0.47,0.32,0.47,Matches
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,11,6,530,5,1,0,0,0,0,0.85,0.17,1.02,0.85,1.02,3.7,3.7,1.0,0.63,0.17,0.81,0.63,0.81,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,24,20,"1,771",3,0,0,0,7,0,0.15,0.00,0.15,0.15,0.15,2.4,2.4,1.0,0.12,0.05,0.17,0.12,0.17,Matches
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,27,20,"1,927",2,2,0,0,10,0,0.09,0.09,0.19,0.09,0.19,1.6,1.6,0.9,0.07,0.04,0.12,0.07,0.12,Matches
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,33,33,"2,957",2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,0.9,0.03,0.03,0.06,0.03,0.06,Matches
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,22,21,"1,916",1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,0.1,0.1,1.3,0.01,0.06,0.07,0.01,0.07,Matches
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,6,0,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,4,2,172,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,17,7,735,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,1.1,1.1,0.2,0.14,0.02,0.16,0.14,0.16,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,9,901,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
