player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_performance_cards_yellow,header_performance_cards_red,header_performance_cards_yellow_red,header_performance_fouls,header_performance_fouled,header_performance_offsides,header_performance_crosses,header_performance_interceptions,header_performance_tackles_won,header_performance_pens_won,header_performance_pens_conceded,header_performance_own_goals,header_performance_ball_recoveries,header_aerials_aerials_won,header_aerials_aerials_lost,header_aerials_aerials_won_pct,matches
Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28.0,1,0,0,0,2,0,0,2,0,0,0,0,116,0,0,,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,18.0,1,0,0,34,12,22,9,5,7,0,0,0,53,85,86,49.7,Matches
Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,7.4,0,0,0,7,5,0,1,10,5,0,0,0,61,10,10,50.0,Matches
Yoann Court,fr FRA,"FW,MF",Brest,fr Ligue 1,29,1990,16.3,6,0,0,22,21,6,74,14,32,1,0,0,91,11,19,36.7,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34.0,1,0,0,0,4,0,0,2,0,0,0,0,161,1,0,100.0,Matches
Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,de Bundesliga,27,1992,15.7,0,0,0,5,23,3,41,6,25,1,0,0,92,6,10,37.5,Matches
Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,6.2,1,0,0,4,6,1,0,8,4,0,0,0,40,14,9,60.9,Matches
Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,14.0,0,0,0,0,1,0,0,0,0,0,0,0,56,0,0,,Matches
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,30.3,7,0,0,16,18,2,127,35,29,0,0,0,295,51,34,60.0,Matches
Domenico Criscito,it ITA,DF,Genoa,it Serie A,32,1986,22.1,7,0,0,30,41,0,75,48,43,0,1,0,197,28,16,63.6,Matches
Bryan Cristante,it ITA,MF,Roma,it Serie A,24,1995,16.6,6,1,0,27,6,0,6,23,13,0,1,0,156,12,24,33.3,Matches
Sebastián Cristóforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1.0,0,0,0,0,2,0,5,1,4,0,0,0,10,0,0,,Matches
Sebastián Cristóforo,uy URU,MF,Eibar,es La Liga,25,1993,9.7,1,0,0,21,24,2,18,8,24,0,0,0,96,6,14,30.0,Matches
Juan Cuadrado,co COL,"DF,FW",Juventus,it Serie A,31,1988,28.5,7,1,0,27,73,3,83,36,40,1,0,0,242,15,23,39.5,Matches
Cucho,co COL,"FW,MF",Mallorca,es La Liga,20,1999,16.5,5,1,1,16,37,4,24,12,11,0,1,0,78,41,65,38.7,Matches
Marc Cucurella,es ESP,"MF,DF",Getafe,es La Liga,21,1998,36.0,9,0,0,78,62,6,130,33,62,1,0,0,375,49,85,36.6,Matches
Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27.0,4,1,1,0,6,0,0,1,0,0,0,0,181,0,0,,Matches
Jaume Cuéllar,bo BOL,MF,SPAL,it Serie A,17,2001,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,19,1999,3.4,1,0,0,11,3,0,15,3,3,1,0,0,16,0,4,0.0,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,20,1999,8.3,3,0,0,25,29,2,5,9,9,1,0,0,60,6,16,27.3,Matches
Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,20,1999,3.1,0,0,0,9,6,3,1,1,4,0,0,0,26,6,9,40.0,Matches
Felipe Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,100.0,Matches
Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,8.3,1,0,0,8,9,10,3,1,6,1,0,0,35,9,33,21.4,Matches
Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,0,0,0,5,9,4,6,2,4,0,0,0,25,5,21,19.2,Matches
Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,3,1,1,13,32,1,97,18,16,0,1,0,155,11,9,55.0,Matches
Rafael Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,4,1,1,25,23,1,5,35,37,0,2,1,274,67,44,60.4,Matches
Lennart-Marten Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
Marco D'Alessandro,it ITA,"DF,MF",SPAL,it Serie A,28,1991,7.2,0,1,0,2,9,0,23,4,8,0,0,0,28,0,7,0.0,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,1988,13.7,6,0,0,33,19,3,14,13,18,0,0,0,106,20,17,54.1,Matches
Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2000,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,0,0,0,0,0,0,1,0,1,0,0,0,6,1,5,16.7,Matches
Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,3,0,0,25,12,2,4,28,17,0,1,1,235,91,31,74.6,Matches
Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,10.5,3,0,0,15,19,1,2,8,11,0,0,0,70,10,6,62.5,Matches
Moanes Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,4,0,0,23,22,4,5,4,7,1,0,0,56,10,23,30.3,Matches
Moanes Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,0,0,0,0,0,0,1,0,1,0,0,0,3,1,1,50.0,Matches
Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,1,0,0,13,3,2,25,5,4,0,0,0,51,1,5,16.7,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,6.2,1,0,0,12,6,0,4,8,7,0,0,0,58,3,5,37.5,Matches
Leon Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,1984,11.1,5,0,0,20,9,1,4,8,8,0,1,0,81,16,9,64.0,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,0.7,0,0,0,1,0,0,3,2,2,0,0,0,8,4,0,100.0,Matches
Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,1.4,0,0,0,0,0,0,5,1,0,0,0,0,9,2,1,66.7,Matches
Danilo,br BRA,DF,Juventus,it Serie A,28,1991,15.0,4,1,1,19,11,2,29,23,16,0,0,0,132,16,13,55.2,Matches
Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,14.1,0,0,0,5,0,0,2,14,5,0,0,0,154,36,32,52.9,Matches
Kevin Danso,at AUT,DF,Southampton,eng Premier League,20,1998,3.1,2,1,1,4,2,0,4,3,4,0,0,0,28,11,10,52.4,Matches
Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21.0,7,0,0,17,6,1,1,27,19,0,1,1,181,53,21,71.6,Matches
Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Sergi Darder,es ESP,"MF,FW",Espanyol,es La Liga,25,1993,29.5,4,0,0,34,26,2,58,21,25,0,0,0,205,28,21,57.1,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,25.1,8,1,1,38,24,3,99,26,40,0,0,0,230,21,43,32.8,Matches
Matteo Darmian,it ITA,DF,Parma,it Serie A,29,1989,27.8,5,0,0,35,44,3,43,25,36,0,1,0,238,31,31,50.0,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,24.8,4,1,1,25,34,7,65,34,49,0,0,0,366,27,24,52.9,Matches
Ben Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,15.9,6,0,0,27,8,1,30,24,13,0,0,0,163,42,22,65.6,Matches
Tom Davies,eng ENG,MF,Everton,eng Premier League,21,1998,22.5,8,0,0,29,40,1,8,34,18,0,0,0,251,34,31,52.3,Matches
Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,6.1,0,0,0,12,11,3,1,0,2,0,0,0,27,23,39,37.1,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,7.7,4,2,1,19,8,1,2,12,8,0,1,0,66,26,13,66.7,Matches
Craig Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,26.2,6,0,0,31,12,0,4,34,19,0,1,0,254,107,36,74.8,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,31.0,3,0,0,26,28,3,304,19,28,0,0,0,232,18,22,45.0,Matches
Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,32,1987,15.7,1,0,0,10,8,3,5,34,15,0,0,0,145,40,30,57.1,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,25,1994,29.4,5,1,0,31,74,2,222,24,35,0,0,0,255,2,10,16.7,Matches
Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,5.2,1,0,0,0,3,0,9,8,5,0,0,0,44,7,8,46.7,Matches
Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,31,1988,24.9,2,0,0,34,15,7,81,20,9,0,1,0,120,59,41,59.0,Matches
Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,14.8,2,0,0,25,22,2,14,15,33,0,0,0,216,60,33,64.5,Matches
Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,19.7,2,0,0,32,23,2,63,43,26,0,2,0,200,93,36,72.1,Matches
Troy Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,24.7,3,0,0,37,37,12,10,11,17,1,0,0,119,173,290,37.4,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,28,1991,10.9,1,0,0,16,12,4,4,3,9,0,0,0,57,6,22,21.4,Matches
Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
Alessandro Deiola,it ITA,MF,Lecce,it Serie A,23,1995,8.0,3,0,0,7,8,0,10,7,12,0,0,0,72,2,6,25.0,Matches
Romain Del Castillo,fr FRA,"FW,MF",Rennes,fr Ligue 1,23,1996,13.8,2,0,0,21,22,4,24,8,19,0,0,0,89,20,30,40.0,Matches
Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,27,1992,13.9,4,0,0,21,11,0,64,14,14,0,0,0,105,3,16,15.8,Matches
Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,1991,9.2,4,0,0,20,12,1,1,27,16,0,0,1,105,22,14,61.1,Matches
Paul Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,1.5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
Cristian Dell'Orco,it ITA,DF,Lecce,it Serie A,25,1994,10.0,2,1,1,16,9,0,19,15,14,0,0,0,75,24,10,70.6,Matches
Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,1991,25.3,5,0,0,69,39,21,90,4,20,0,0,0,118,64,77,45.4,Matches
Fabian Delph,eng ENG,MF,Everton,eng Premier League,29,1989,13.2,5,1,1,18,7,0,8,16,11,0,0,0,175,12,10,54.5,Matches
Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,23,1996,24.3,3,0,0,43,24,11,3,2,9,3,0,0,78,58,79,42.3,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,22,1997,4.0,1,1,0,1,5,4,20,0,0,0,0,0,21,1,2,33.3,Matches
Merih Demiral,tr TUR,DF,Juventus,it Serie A,21,1998,4.2,1,0,0,5,1,1,1,4,6,0,1,0,33,21,6,77.8,Matches
Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,17.5,4,1,1,24,18,1,124,20,22,0,0,0,172,22,15,59.5,Matches
Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,13.5,3,0,0,19,13,0,8,12,28,0,0,0,139,10,17,37.0,Matches
Diego Demme,de GER,MF,Napoli,it Serie A,27,1991,8.9,6,0,0,23,10,0,2,9,12,0,0,0,76,5,9,35.7,Matches
Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,23.7,0,0,0,9,1,0,1,16,16,0,0,0,182,46,32,59.0,Matches
Leander Dendoncker,be BEL,"MF,DF",Wolves,eng Premier League,24,1995,31.1,5,0,0,30,9,0,8,38,40,0,1,1,302,90,71,55.9,Matches
Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,2000,6.7,1,0,0,23,12,2,7,1,9,0,0,0,31,12,35,25.5,Matches
Stefano Denswil,nl NED,DF,Bologna,it Serie A,26,1993,22.9,7,1,1,28,27,1,7,32,32,0,1,1,223,50,20,71.4,Matches
Fabio Depaoli,it ITA,"MF,DF",Sampdoria,it Serie A,22,1997,19.1,7,0,0,56,30,2,78,15,25,1,1,0,147,24,45,34.8,Matches
Memphis Depay,nl NED,"FW,MF",Lyon,fr Ligue 1,25,1994,11.3,0,0,0,8,18,3,36,2,9,1,0,0,53,2,11,15.4,Matches
Kastriot Dermaku,al ALB,DF,Parma,it Serie A,27,1992,9.9,2,0,0,16,4,0,1,11,5,0,1,0,69,27,10,73.0,Matches
Daniele Dessena,it ITA,MF,Brescia,it Serie A,32,1987,19.8,7,1,1,25,19,0,13,10,15,2,1,0,158,22,28,44.0,Matches
Mattia Destro,it ITA,FW,Bologna,it Serie A,28,1991,2.1,2,0,0,6,2,1,0,0,3,0,0,0,5,2,13,13.3,Matches
Mattia Destro,it ITA,"FW,MF",Genoa,it Serie A,28,1991,1.7,0,0,0,3,2,1,1,0,0,0,0,0,5,4,10,28.6,Matches
Gerard Deulofeu,es ESP,FW,Watford,eng Premier League,25,1994,23.3,3,0,0,27,22,18,91,24,21,1,0,0,164,3,15,16.7,Matches
Deyverson,br BRA,FW,Getafe,es La Liga,28,1991,2.3,2,0,0,7,0,1,3,0,0,0,0,0,14,15,10,60.0,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,30,1988,13.0,3,0,0,31,23,15,9,0,2,2,0,0,45,28,41,40.6,Matches
Federico Di Francesco,it ITA,FW,SPAL,it Serie A,25,1994,11.7,4,0,0,18,29,4,35,3,6,1,0,0,69,7,16,30.4,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,25,1993,32.0,5,0,0,32,51,3,61,30,42,0,0,0,229,65,52,55.6,Matches
Ángel Di María,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,31,1988,22.2,2,0,0,12,22,6,162,9,13,0,0,0,142,1,4,20.0,Matches
Boulaye Dia,fr FRA,FW,Reims,fr Ligue 1,22,1996,20.1,0,0,0,24,25,14,4,7,13,1,0,0,84,27,80,25.2,Matches
Fousseni Diabaté,ml MLI,"FW,MF",Amiens,fr Ligue 1,23,1995,13.2,3,0,0,12,9,2,29,9,10,0,0,0,115,9,14,39.1,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,de Bundesliga,20,1999,19.7,3,0,0,13,20,9,90,8,4,0,0,0,118,3,14,17.6,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,es La Liga,22,1996,16.0,5,0,0,17,14,2,1,12,10,0,1,0,136,35,20,63.6,Matches
Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,18,2001,15.2,1,1,0,5,4,0,7,23,14,0,0,0,131,25,17,59.5,Matches
Abdou Diallo,fr FRA,DF,Paris S-G,fr Ligue 1,23,1996,13.3,4,0,0,24,7,0,4,11,10,0,0,0,123,17,11,60.7,Matches
Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,24,1995,24.4,2,1,0,36,22,17,4,2,2,0,0,0,102,99,161,38.1,Matches
Ibrahima Diallo,fr FRA,MF,Brest,fr Ligue 1,20,1999,17.3,2,0,0,18,22,0,6,23,38,0,0,0,199,17,13,56.7,Matches
Moussa Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18,2000,1.0,0,0,0,0,1,0,0,3,1,0,0,0,10,3,3,50.0,Matches
Raphael Dias Belloli,br BRA,"MF,FW",Rennes,fr Ligue 1,23,1996,18.8,4,0,0,19,32,4,90,22,20,0,0,0,138,15,18,45.5,Matches
Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Matches
Amadou Diawara,gn GUI,MF,Roma,it Serie A,22,1997,15.9,4,0,0,27,18,0,2,35,29,0,0,0,148,9,9,50.0,Matches
Brahim Díaz,es ESP,"FW,MF",Real Madrid,es La Liga,19,1999,0.7,1,0,0,1,6,0,0,0,1,0,0,0,6,0,1,0.0,Matches
Víctor Díaz,es ESP,DF,Granada,es La Liga,31,1988,32.0,4,0,0,20,12,1,123,49,45,0,0,0,304,54,45,54.5,Matches
Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,20.8,5,1,0,21,12,0,10,35,19,0,0,1,179,24,36,40.0,Matches
Eric Dier,eng ENG,"DF,MF",Tottenham,eng Premier League,25,1994,14.9,5,0,0,19,4,1,3,19,14,0,1,0,170,79,36,68.7,Matches
Lucas Digne,fr FRA,DF,Everton,eng Premier League,26,1993,33.7,6,0,0,45,28,3,270,46,39,0,1,1,363,112,53,67.9,Matches
Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38.0,1,0,0,16,25,1,0,35,20,0,0,0,505,183,43,81.0,Matches
Mitchell Dijks,nl NED,DF,Bologna,it Serie A,26,1993,11.2,4,0,0,21,13,3,28,10,10,0,1,0,101,9,11,45.0,Matches
Javairô Dilrosun,nl NED,"MF,FW",Hertha BSC,de Bundesliga,21,1998,14.5,2,0,0,6,19,3,34,18,6,0,0,0,109,4,15,21.1,Matches
Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,3.8,1,0,0,6,4,1,34,0,4,0,0,1,44,1,4,20.0,Matches
Federico Dimarco,it ITA,"DF,MF",Inter,it Serie A,21,1997,0.3,0,0,0,1,0,0,0,1,1,0,0,0,5,0,1,0.0,Matches
Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,28,1991,9.9,1,0,0,20,10,0,16,5,7,0,0,0,64,1,9,10.0,Matches
Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,7.4,1,0,0,11,8,4,7,1,8,0,0,0,20,8,33,19.5,Matches
Issa Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,30.7,8,0,0,31,11,1,1,46,16,0,3,0,306,84,39,68.3,Matches
Papakouli Diop,sn SEN,MF,Eibar,es La Liga,33,1986,25.0,7,0,0,53,34,1,9,36,27,0,0,0,319,61,36,62.9,Matches
Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,1.3,1,0,0,3,0,0,0,0,1,0,0,0,21,1,1,50.0,Matches
Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27.0,3,0,0,37,24,0,4,25,23,0,2,0,268,73,45,61.9,Matches
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,19,2000,7.3,1,0,0,9,5,0,3,10,8,0,1,0,69,10,8,55.6,Matches
Djené,tg TOG,DF,Getafe,es La Liga,27,1991,34.0,5,0,0,42,25,1,11,35,28,0,2,1,458,97,59,62.2,Matches
Moussa Djenepo,ml MLI,"MF,DF",Southampton,eng Premier League,21,1998,10.3,4,1,0,23,30,3,23,10,18,0,0,0,55,5,14,26.3,Matches
Koffi Djidji,ci CIV,DF,Torino,it Serie A,26,1992,8.0,0,0,0,11,1,0,0,13,11,0,0,1,73,10,11,47.6,Matches
Alexander Djiku,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,24,1994,22.9,6,0,0,37,23,0,6,52,40,0,1,0,245,67,18,78.8,Matches
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,29.4,4,0,0,30,35,0,3,47,22,0,1,0,349,113,41,73.4,Matches
Naïs Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,1999,0.3,0,0,0,1,0,0,5,0,0,0,0,0,2,2,0,100.0,Matches
Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,27,1992,35.0,3,0,0,1,1,0,0,4,0,0,0,0,205,0,0,,Matches
Matt Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,31.5,1,0,0,28,19,3,44,38,33,1,1,0,255,107,92,53.8,Matches
Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,1997,21.0,2,0,0,26,36,7,3,9,8,0,0,0,38,17,20,45.9,Matches
Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,1993,1.6,1,0,0,6,0,0,4,1,1,0,0,0,18,2,1,66.7,Matches
Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,1,0,0,0,0,0,0,1,0,0,0,0,68,0,0,,Matches
Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,21,1998,6.9,1,0,0,15,5,0,6,10,14,0,0,0,97,4,6,40.0,Matches
Giulio Donati,it ITA,DF,Lecce,it Serie A,29,1990,17.6,3,0,0,15,27,0,43,22,23,0,0,1,120,13,10,56.5,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,1,0,0,3,2,1,3,0,0,0,0,0,1,3,4,42.9,Matches
Anastasios Donis,gr GRE,"FW,MF",Reims,fr Ligue 1,22,1996,6.8,1,0,0,17,8,5,23,1,3,0,0,0,31,7,21,25.0,Matches
Alfredo Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.6,1,0,0,18,33,11,7,5,7,0,0,0,80,12,40,23.1,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,33.6,3,0,0,1,4,0,0,3,0,0,0,0,145,0,0,,Matches
Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,3,0,0,18,26,0,2,26,31,0,0,1,254,88,36,71.0,Matches
Mathieu Dossevi,tg TOG,"MF,FW",Toulouse,fr Ligue 1,31,1988,19.5,0,0,0,23,22,5,196,13,22,0,0,0,128,7,23,23.3,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,2,0,0,16,13,9,1,4,4,0,0,0,69,125,52,70.6,Matches
Abdoulaye Doucouré,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,9,0,0,51,15,6,26,32,49,0,1,1,441,53,54,49.5,Matches
Mamadou Doucouré,fr FRA,MF,M'gladbach,de Bundesliga,21,1998,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Moussa Doumbia,ml MLI,"FW,MF",Reims,fr Ligue 1,24,1994,19.1,8,1,1,22,55,1,45,12,14,1,0,0,158,5,20,20.0,Matches
Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5.0,1,0,0,5,2,0,16,4,4,0,0,0,43,4,6,40.0,Matches
Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1.0,0,0,0,1,0,0,3,0,0,0,0,0,9,0,1,0.0,Matches
Thomas Doyle,eng ENG,"MF,FW",Manchester City,eng Premier League,17,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Mohamed Dräger,tn TUN,DF,Paderborn 07,de Bundesliga,23,1996,16.2,2,0,0,16,23,0,45,19,26,0,0,0,145,8,13,38.1,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,28,1991,11.4,7,1,1,17,6,0,1,14,15,0,1,0,121,22,13,62.9,Matches
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,1,0,0,1,6,0,0,2,0,0,1,0,175,0,0,,Matches
Julian Draxler,de GER,MF,Paris S-G,fr Ligue 1,25,1993,7.6,5,0,0,17,4,0,11,10,8,0,0,0,59,3,1,75.0,Matches
Dominick Drexler,de GER,"MF,FW",Köln,de Bundesliga,29,1990,17.6,5,0,0,26,39,8,49,23,19,0,1,0,163,18,32,36.0,Matches
Danny Drinkwater,eng ENG,MF,Aston Villa,eng Premier League,29,1990,2.9,1,0,0,7,1,0,1,5,5,0,0,0,46,2,2,50.0,Matches
Danny Drinkwater,eng ENG,MF,Burnley,eng Premier League,29,1990,0.6,0,0,0,1,0,0,0,1,2,0,0,0,8,0,1,0.0,Matches
Josip Drmić,ch SUI,"FW,MF",Norwich City,eng Premier League,26,1992,7.2,0,1,0,6,4,7,3,1,3,0,0,0,49,12,40,23.1,Matches
Domingos Duarte,pt POR,DF,Granada,es La Liga,24,1995,34.3,7,0,0,39,22,4,1,31,21,0,4,0,297,87,47,64.9,Matches
Léo Duarte,br BRA,DF,Milan,it Serie A,23,1996,4.4,2,0,0,3,2,0,0,3,1,0,0,0,30,11,8,57.9,Matches
Óscar Duarte,cr CRC,DF,Levante,es La Liga,30,1989,5.4,0,0,0,10,3,0,0,7,7,0,1,0,38,13,14,48.1,Matches
Rubén Duarte,es ESP,DF,Alavés,es La Liga,23,1995,29.6,11,0,0,45,39,0,67,46,38,1,5,0,289,58,49,54.2,Matches
Edgaras Dubickas,lt LTU,DF,Lecce,it Serie A,21,1998,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,24,1994,15.0,3,0,0,17,11,1,60,17,21,0,0,0,124,19,8,70.4,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38.0,0,0,0,0,4,0,0,1,0,0,0,0,170,0,0,,Matches
Ondrej Duda,sk SVK,MF,Norwich City,eng Premier League,24,1994,8.0,0,0,0,9,13,2,43,6,15,0,0,0,66,8,20,28.6,Matches
Ondrej Duda,sk SVK,"MF,FW",Hertha BSC,de Bundesliga,24,1994,5.0,2,0,0,12,11,0,7,5,3,0,0,0,43,7,11,38.9,Matches
Shane Duffy,ie IRL,DF,Brighton,eng Premier League,27,1992,13.8,2,0,0,14,10,0,1,21,9,0,0,0,136,63,17,78.8,Matches
Haris Duljević,ba BIH,"FW,MF",Nîmes,fr Ligue 1,25,1993,5.8,0,0,0,4,8,1,11,2,9,0,0,0,32,3,9,25.0,Matches
Paul Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,27,1991,13.6,2,0,0,4,6,0,15,19,6,0,0,1,121,35,23,60.3,Matches
Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,26,1993,8.5,2,0,0,8,9,0,15,5,3,0,0,0,58,4,6,40.0,Matches
Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,26,1993,9.4,3,0,0,17,13,0,8,10,11,0,2,0,67,5,8,38.5,Matches
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,27,1991,35.9,9,0,0,19,19,1,1,54,28,0,0,0,410,84,44,65.6,Matches
Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,27,1992,5.7,0,0,0,4,4,0,19,4,8,0,0,0,59,5,10,33.3,Matches
Riza Durmisi,dk DEN,DF,Nice,fr Ligue 1,25,1994,1.8,0,0,0,1,0,0,9,2,1,0,0,0,8,0,3,0.0,Matches
Hugo Duro,es ESP,"FW,MF",Getafe,es La Liga,19,1999,4.2,3,0,0,11,16,1,4,1,2,1,0,0,23,14,38,26.9,Matches
