player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_performance_cards_yellow,header_performance_cards_red,header_performance_cards_yellow_red,header_performance_fouls,header_performance_fouled,header_performance_offsides,header_performance_crosses,header_performance_interceptions,header_performance_tackles_won,header_performance_pens_won,header_performance_pens_conceded,header_performance_own_goals,header_performance_ball_recoveries,header_aerials_aerials_won,header_aerials_aerials_lost,header_aerials_aerials_won_pct,matches
Gil Bastião Dias,pt POR,"DF,MF",Monaco,fr Ligue 1,22,1996,11.7,3,0,0,13,15,2,21,14,33,0,0,0,114,10,13,43.5,Matches
Borja Bastón,es ESP,"MF,FW",Aston Villa,eng Premier League,26,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,25.0,Matches
Alessandro Bastoni,it ITA,DF,Inter,it Serie A,20,1999,19.5,9,1,1,36,27,0,20,24,19,0,1,0,206,44,24,64.7,Matches
Bastos,ao ANG,DF,Lazio,it Serie A,28,1991,8.1,4,0,0,14,6,0,0,14,10,0,1,1,54,10,11,47.6,Matches
Oliver Batista-Meier,de GER,FW,Bayern Munich,de Bundesliga,18,2001,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Michy Batshuayi,be BEL,FW,Chelsea,eng Premier League,25,1993,2.7,0,0,0,4,4,7,0,0,1,0,0,0,17,6,15,28.6,Matches
Cristian Battocchio,it ITA,MF,Brest,fr Ligue 1,27,1992,15.5,1,0,0,9,6,0,44,19,25,1,0,0,179,8,16,33.3,Matches
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30.0,1,0,0,0,8,0,0,3,0,0,0,0,204,0,0,,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,31,1988,19.9,4,0,0,30,32,1,4,23,29,0,0,0,208,20,18,52.6,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,de Bundesliga,19,1999,16.6,3,0,0,37,29,6,17,7,21,1,0,0,96,35,47,42.7,Matches
Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,de Bundesliga,22,1996,4.2,1,0,0,2,12,0,9,5,2,1,0,0,32,13,18,41.9,Matches
Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,de Bundesliga,25,1994,23.4,1,0,0,24,29,6,37,10,18,0,0,0,143,56,65,46.3,Matches
Rodrigo Becão,br BRA,DF,Udinese,it Serie A,23,1996,23.6,8,0,0,42,26,1,5,42,42,0,1,0,175,54,23,70.1,Matches
Sheraldo Becker,nl NED,"MF,FW",Union Berlin,de Bundesliga,24,1995,6.0,1,0,0,9,5,3,17,0,2,0,0,0,33,3,12,20.0,Matches
Timo Becker,de GER,"DF,MF",Schalke 04,de Bundesliga,22,1997,3.7,0,0,0,2,2,0,3,3,5,0,0,0,32,6,8,42.9,Matches
Jan Bednarek,pl POL,DF,Southampton,eng Premier League,23,1996,34.0,4,0,0,33,12,0,1,74,38,0,1,1,401,132,54,71.0,Matches
Asmir Begović,ba BIH,GK,Milan,it Serie A,32,1987,1.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Valon Behrami,ch SUI,MF,Genoa,it Serie A,34,1985,11.0,4,1,1,36,24,0,1,9,23,0,0,0,101,13,14,48.1,Matches
Maximilian Beier,de GER,FW,Hoffenheim,de Bundesliga,16,2002,1.2,1,0,0,3,1,2,3,0,3,0,0,0,5,2,4,33.3,Matches
Gaëtan Belaud,fr FRA,DF,Brest,fr Ligue 1,32,1986,6.4,0,0,0,6,5,0,14,14,8,0,0,0,55,9,12,42.9,Matches
Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,de Bundesliga,27,1992,3.0,0,0,0,4,1,5,0,0,1,0,0,0,7,5,7,41.7,Matches
Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,25,1994,20.2,4,0,0,30,33,1,4,54,42,0,0,0,169,15,31,32.6,Matches
