player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_passes_total_passes_completed,header_passes_total_passes,header_passes_total_passes_pct,header_passes_total_passes_total_distance,header_passes_total_passes_progressive_distance,header_passes_short_passes_completed_short,header_passes_short_passes_short,header_passes_short_passes_pct_short,header_passes_medium_passes_completed_medium,header_passes_medium_passes_medium,header_passes_medium_passes_pct_medium,header_passes_long_passes_completed_long,header_passes_long_passes_long,header_passes_long_passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,17.5,947,1214,78.0,18600,5956,16,43,37.2,714,809,88.3,217,362,59.9,5,3.8,+1.2,41,103,11,1,148,Matches
Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,13.5,933,1076,86.7,16232,4126,13,35,37.1,757,830,91.2,163,211,77.3,0,1.0,-1.0,12,85,15,1,86,Matches
Diego Demme,de GER,MF,Napoli,it Serie A,27,1991,8.9,626,689,90.9,12161,2214,10,20,50.0,470,510,92.2,146,159,91.8,0,0.5,-0.5,9,79,8,1,44,Matches
Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,23.7,1492,1568,95.2,33328,9296,9,12,75.0,959,983,97.6,524,573,91.4,1,0.1,+0.9,3,62,1,0,60,Matches
Leander Dendoncker,be BEL,"MF,DF",Wolves,eng Premier League,24,1995,31.1,1087,1284,84.7,22070,4878,8,36,22.2,799,921,86.8,280,327,85.6,0,0.6,-0.6,7,54,4,1,59,Matches
Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,2000,6.7,102,149,68.5,1496,289,3,13,23.1,85,117,72.6,14,19,73.7,1,0.4,+0.6,6,3,2,1,11,Matches
Stefano Denswil,nl NED,DF,Bologna,it Serie A,26,1993,22.9,1016,1174,86.5,21233,7559,7,19,36.8,731,799,91.5,278,356,78.1,1,0.5,+0.5,9,86,7,0,101,Matches
Fabio Depaoli,it ITA,"MF,DF",Sampdoria,it Serie A,22,1997,19.1,441,646,68.3,7807,3448,8,47,17.0,360,449,80.2,73,150,48.7,1,2.1,-1.1,26,26,23,17,102,Matches
Memphis Depay,nl NED,"FW,MF",Lyon,fr Ligue 1,25,1994,11.3,368,485,75.9,6162,1677,8,19,42.1,304,361,84.2,56,105,53.3,2,2.6,-0.6,22,29,17,1,63,Matches
Kastriot Dermaku,al ALB,DF,Parma,it Serie A,27,1992,9.9,250,298,83.9,6345,1865,2,4,50.0,138,157,87.9,110,137,80.3,0,0.0,0.0,0,14,0,0,20,Matches
Daniele Dessena,it ITA,MF,Brescia,it Serie A,32,1987,19.8,522,660,79.1,9743,2827,6,20,30.0,400,455,87.9,116,185,62.7,0,0.0,0.0,1,42,9,1,83,Matches
Mattia Destro,it ITA,FW,Bologna,it Serie A,28,1991,2.1,14,20,70.0,247,102,1,2,50.0,11,16,68.8,2,2,100.0,0,1.0,-1.0,2,2,2,0,5,Matches
Mattia Destro,it ITA,"FW,MF",Genoa,it Serie A,28,1991,1.7,20,26,76.9,223,37,2,5,40.0,18,21,85.7,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Gerard Deulofeu,es ESP,FW,Watford,eng Premier League,25,1994,23.3,603,823,73.3,10186,2555,26,73,35.6,461,558,82.6,116,192,60.4,5,4.6,+0.4,45,30,29,2,75,Matches
Deyverson,br BRA,FW,Getafe,es La Liga,28,1991,2.3,34,68,50.0,628,177,3,10,30.0,22,34,64.7,9,24,37.5,1,0.6,+0.4,4,9,2,0,9,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,30,1988,13.0,164,234,70.1,2025,136,15,27,55.6,138,191,72.3,11,16,68.8,0,0.3,-0.3,4,1,1,0,3,Matches
Federico Di Francesco,it ITA,FW,SPAL,it Serie A,25,1994,11.7,256,336,76.2,4141,1028,10,17,58.8,208,249,83.5,38,70,54.3,0,1.0,-1.0,17,8,12,2,34,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,25,1993,32.0,1931,2195,88.0,33037,11710,40,99,40.4,1570,1690,92.9,321,406,79.1,3,2.5,+0.5,28,127,38,8,194,Matches
Ángel Di María,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,31,1988,22.2,940,1290,72.9,17535,5555,19,63,30.2,710,846,83.9,211,381,55.4,14,14.3,-0.3,76,83,91,14,206,Matches
Boulaye Dia,fr FRA,FW,Reims,fr Ligue 1,22,1996,20.1,251,328,76.5,3609,604,13,28,46.4,215,265,81.1,23,35,65.7,1,2.2,-1.2,23,16,12,0,24,Matches
Fousseni Diabaté,ml MLI,"FW,MF",Amiens,fr Ligue 1,23,1995,13.2,362,482,75.1,5079,1361,18,37,48.6,310,383,80.9,34,62,54.8,3,1.9,+1.1,16,18,5,2,41,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,de Bundesliga,20,1999,19.7,515,700,73.6,8277,1795,13,47,27.7,428,520,82.3,74,133,55.6,5,4.8,+0.2,34,24,27,14,62,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,es La Liga,22,1996,16.0,726,804,90.3,15580,4485,5,8,62.5,497,530,93.8,224,266,84.2,0,0.0,0.0,1,34,1,1,35,Matches
Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,18,2001,15.2,568,669,84.9,11551,3783,5,13,38.5,402,435,92.4,161,221,72.9,0,0.0,0.0,1,23,3,2,39,Matches
Abdou Diallo,fr FRA,DF,Paris S-G,fr Ligue 1,23,1996,13.3,986,1061,92.9,19786,6924,10,20,50.0,706,738,95.7,270,303,89.1,1,0.1,+0.9,3,84,5,1,78,Matches
Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,24,1995,24.4,318,451,70.5,4922,682,13,43,30.2,264,345,76.5,41,63,65.1,3,2.8,+0.2,26,16,5,1,22,Matches
Ibrahima Diallo,fr FRA,MF,Brest,fr Ligue 1,20,1999,17.3,729,838,87.0,15945,3015,4,15,26.7,484,544,89.0,241,279,86.4,1,0.6,+0.4,9,50,4,0,48,Matches
Moussa Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18,2000,1.0,41,56,73.2,823,276,0,0,,33,38,86.8,8,18,44.4,0,0.0,0.0,0,1,0,0,1,Matches
Raphael Dias Belloli,br BRA,"MF,FW",Rennes,fr Ligue 1,23,1996,18.8,454,685,66.3,8807,3354,12,46,26.1,341,442,77.1,101,197,51.3,3,5.6,-2.6,41,38,26,6,124,Matches
Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,51,97,52.6,2198,1729,0,0,,16,16,100.0,35,81,43.2,0,0.0,0.0,0,2,0,0,0,Matches
Amadou Diawara,gn GUI,MF,Roma,it Serie A,22,1997,15.9,831,936,88.8,17441,3893,9,14,64.3,573,628,91.2,249,294,84.7,1,0.5,+0.5,15,89,6,0,70,Matches
Brahim Díaz,es ESP,"FW,MF",Real Madrid,es La Liga,19,1999,0.7,35,40,87.5,472,117,0,2,0.0,33,36,91.7,2,2,100.0,0,0.0,0.0,0,2,1,0,2,Matches
Víctor Díaz,es ESP,DF,Granada,es La Liga,31,1988,32.0,1020,1507,67.7,22122,10407,11,50,22.0,716,886,80.8,293,571,51.3,5,2.8,+2.2,27,100,33,18,251,Matches
Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,20.8,732,902,81.2,13030,4119,18,31,58.1,560,628,89.2,154,243,63.4,0,0.1,-0.1,3,32,3,2,57,Matches
Eric Dier,eng ENG,"DF,MF",Tottenham,eng Premier League,25,1994,14.9,713,876,81.4,15425,4283,13,20,65.0,463,538,86.1,237,318,74.5,2,0.1,+1.9,4,56,3,0,45,Matches
Lucas Digne,fr FRA,DF,Everton,eng Premier League,26,1993,33.7,1351,1945,69.5,25883,11328,15,82,18.3,1046,1285,81.4,290,578,50.2,7,5.7,+1.3,70,97,43,25,302,Matches
Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38.0,2791,3085,90.5,65377,18436,14,22,63.6,1736,1840,94.3,1041,1223,85.1,1,1.4,-0.4,7,228,9,0,156,Matches
Mitchell Dijks,nl NED,DF,Bologna,it Serie A,26,1993,11.2,432,545,79.3,7458,3186,11,30,36.7,355,412,86.2,66,103,64.1,0,0.9,-0.9,11,38,9,7,73,Matches
Javairô Dilrosun,nl NED,"MF,FW",Hertha BSC,de Bundesliga,21,1998,14.5,298,412,72.3,5142,1575,5,24,20.8,237,292,81.2,56,96,58.3,2,1.5,+0.5,13,29,10,5,47,Matches
Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,3.8,168,242,69.4,3209,1451,2,12,16.7,136,162,84.0,30,68,44.1,1,1.0,0.0,10,14,7,3,40,Matches
Federico Dimarco,it ITA,"DF,MF",Inter,it Serie A,21,1997,0.3,11,14,78.6,215,65,0,0,,8,10,80.0,3,4,75.0,0,0.0,0.0,0,1,0,0,2,Matches
Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,28,1991,9.9,269,370,72.7,4847,1060,10,34,29.4,206,256,80.5,53,80,66.3,1,1.0,0.0,12,25,14,0,43,Matches
Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,7.4,71,117,60.7,1031,180,7,14,50.0,55,84,65.5,9,19,47.4,0,0.3,-0.3,6,4,4,0,8,Matches
Issa Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,30.7,755,948,79.6,15502,5630,17,39,43.6,517,588,87.9,221,321,68.8,1,0.9,+0.1,4,51,2,0,44,Matches
Papakouli Diop,sn SEN,MF,Eibar,es La Liga,33,1986,25.0,593,806,73.6,12207,3138,3,21,14.3,431,541,79.7,159,244,65.2,0,0.5,-0.5,14,83,4,0,86,Matches
Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,1.3,39,51,76.5,713,213,1,2,50.0,31,38,81.6,7,11,63.6,0,0.1,-0.1,1,2,1,0,5,Matches
Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27.0,1237,1441,85.8,29035,8765,5,14,35.7,739,805,91.8,493,622,79.3,0,0.5,-0.5,4,80,10,0,96,Matches
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,19,2000,7.3,380,432,88.0,8295,2347,5,10,50.0,244,265,92.1,131,157,83.4,0,0.0,0.0,0,15,2,0,15,Matches
Djené,tg TOG,DF,Getafe,es La Liga,27,1991,34.0,684,934,73.2,16425,5788,12,25,48.0,397,482,82.4,275,427,64.4,0,0.4,-0.4,6,70,4,2,86,Matches
Moussa Djenepo,ml MLI,"MF,DF",Southampton,eng Premier League,21,1998,10.3,191,264,72.3,2736,894,8,21,38.1,166,205,81.0,17,38,44.7,2,1.4,+0.6,13,11,15,2,33,Matches
Koffi Djidji,ci CIV,DF,Torino,it Serie A,26,1992,8.0,259,303,85.5,5619,1717,0,0,,178,195,91.3,81,108,75.0,0,0.0,0.0,1,13,0,0,11,Matches
Alexander Djiku,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,24,1994,22.9,1066,1198,89.0,23935,7813,6,13,46.2,702,759,92.5,358,426,84.0,1,0.4,+0.6,5,66,3,1,77,Matches
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,29.4,1528,1735,88.1,27955,8601,17,39,43.6,1224,1317,92.9,287,379,75.7,1,0.5,+0.5,10,82,5,0,85,Matches
Naïs Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,1999,0.3,15,23,65.2,232,79,1,1,100.0,12,18,66.7,2,4,50.0,1,0.2,+0.8,2,1,1,1,2,Matches
Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,27,1992,35.0,479,1062,45.1,24007,19172,1,1,100.0,117,120,97.5,361,941,38.4,0,0.0,0.0,1,62,2,0,1,Matches
Matt Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,31.5,1369,1793,76.4,22390,9051,33,86,38.4,1133,1380,82.1,203,327,62.1,3,1.8,+1.2,23,86,18,9,239,Matches
Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,1997,21.0,232,301,77.1,3534,243,8,25,32.0,193,238,81.1,31,38,81.6,3,1.1,+1.9,7,3,4,0,6,Matches
Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,1993,1.6,57,75,76.0,888,207,1,5,20.0,50,57,87.7,6,13,46.2,0,0.1,-0.1,4,8,2,1,8,Matches
Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,300,457,65.6,10025,7221,3,3,100.0,140,140,100.0,157,314,50.0,0,0.0,0.0,0,3,0,0,0,Matches
Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,21,1998,6.9,306,365,83.8,5991,1463,12,20,60.0,219,242,90.5,75,103,72.8,1,1.0,0.0,12,28,8,0,36,Matches
Giulio Donati,it ITA,DF,Lecce,it Serie A,29,1990,17.6,730,856,85.3,13805,5314,12,26,46.2,556,609,91.3,162,221,73.3,0,1.7,-1.7,21,56,22,13,87,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,14,23,60.9,184,35,1,2,50.0,12,17,70.6,1,4,25.0,0,0.0,0.0,0,0,0,0,1,Matches
Anastasios Donis,gr GRE,"FW,MF",Reims,fr Ligue 1,22,1996,6.8,75,133,56.4,1233,161,4,18,22.2,55,80,68.8,16,35,45.7,0,0.3,-0.3,6,0,1,1,4,Matches
Alfredo Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.6,304,441,68.9,4768,1112,13,44,29.5,252,334,75.4,39,63,61.9,2,1.1,+0.9,16,26,15,1,41,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,33.6,812,1069,76.0,23971,15040,3,5,60.0,425,428,99.3,384,636,60.4,0,0.0,0.0,0,5,0,0,1,Matches
Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,1228,1457,84.3,26925,8971,8,19,42.1,833,903,92.2,387,535,72.3,0,0.1,-0.1,3,111,2,0,100,Matches
Mathieu Dossevi,tg TOG,"MF,FW",Toulouse,fr Ligue 1,31,1988,19.5,463,735,63.0,8146,2709,16,67,23.9,352,455,77.4,95,213,44.6,2,4.8,-2.8,48,25,27,15,100,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,273,461,59.2,4418,980,10,30,33.3,217,353,61.5,46,78,59.0,2,1.4,+0.6,18,33,6,0,34,Matches
Abdoulaye Doucouré,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,1302,1658,78.5,21942,4818,44,112,39.3,1029,1240,83.0,229,306,74.8,2,2.6,-0.6,33,119,31,4,110,Matches
Mamadou Doucouré,fr FRA,MF,M'gladbach,de Bundesliga,21,1998,0.0,9,9,100.0,160,4,0,0,,7,7,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Moussa Doumbia,ml MLI,"FW,MF",Reims,fr Ligue 1,24,1994,19.1,532,681,78.1,8993,1971,20,45,44.4,417,498,83.7,95,138,68.8,1,1.9,-0.9,25,37,18,3,67,Matches
Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5.0,233,303,76.9,3665,1704,3,12,25.0,201,230,87.4,29,61,47.5,1,0.3,+0.7,4,13,4,1,36,Matches
Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1.0,38,48,79.2,681,246,1,2,50.0,29,36,80.6,8,10,80.0,0,0.1,-0.1,1,3,0,0,5,Matches
Thomas Doyle,eng ENG,"MF,FW",Manchester City,eng Premier League,17,2001,0.2,19,19,100.0,279,26,0,0,,17,17,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches
Mohamed Dräger,tn TUN,DF,Paderborn 07,de Bundesliga,23,1996,16.2,629,817,77.0,12640,4190,14,54,25.9,455,546,83.3,160,217,73.7,3,0.9,+2.1,12,29,13,3,115,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,28,1991,11.4,849,936,90.7,18484,5673,5,14,35.7,576,615,93.7,268,307,87.3,0,0.1,-0.1,1,71,3,0,60,Matches
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,647,904,71.6,18757,11372,8,10,80.0,325,327,99.4,314,567,55.4,0,0.0,0.0,0,6,0,0,0,Matches
Julian Draxler,de GER,MF,Paris S-G,fr Ligue 1,25,1993,7.6,431,485,88.9,7215,1648,6,13,46.2,357,389,91.8,68,83,81.9,4,2.1,+1.9,11,34,19,2,51,Matches
Dominick Drexler,de GER,"MF,FW",Köln,de Bundesliga,29,1990,17.6,486,664,73.2,8604,2825,11,39,28.2,380,465,81.7,95,160,59.4,4,3.4,+0.6,27,34,32,11,85,Matches
Danny Drinkwater,eng ENG,MF,Aston Villa,eng Premier League,29,1990,2.9,136,167,81.4,2638,565,2,7,28.6,98,113,86.7,36,47,76.6,0,0.0,0.0,1,16,1,0,11,Matches
Danny Drinkwater,eng ENG,MF,Burnley,eng Premier League,29,1990,0.6,11,20,55.0,183,39,0,3,0.0,10,12,83.3,1,5,20.0,0,0.0,0.0,0,0,0,0,2,Matches
Josip Drmić,ch SUI,"FW,MF",Norwich City,eng Premier League,26,1992,7.2,125,164,76.2,1674,187,7,14,50.0,107,125,85.6,11,25,44.0,0,0.4,-0.4,3,5,0,0,5,Matches
Domingos Duarte,pt POR,DF,Granada,es La Liga,24,1995,34.3,970,1218,79.6,23651,7528,5,16,31.3,564,637,88.5,401,565,71.0,1,0.1,+0.9,2,67,5,1,101,Matches
Léo Duarte,br BRA,DF,Milan,it Serie A,23,1996,4.4,164,185,88.6,3599,882,3,7,42.9,103,113,91.2,58,65,89.2,0,0.0,0.0,0,3,0,0,7,Matches
Óscar Duarte,cr CRC,DF,Levante,es La Liga,30,1989,5.4,190,221,86.0,4634,1633,0,0,,106,116,91.4,84,105,80.0,0,0.0,0.0,0,5,0,0,7,Matches
Rubén Duarte,es ESP,DF,Alavés,es La Liga,23,1995,29.6,933,1310,71.2,17336,8840,14,44,31.8,745,901,82.7,174,365,47.7,1,0.9,+0.1,11,91,16,8,173,Matches
Edgaras Dubickas,lt LTU,DF,Lecce,it Serie A,21,1998,0.0,1,2,50.0,31,7,0,0,,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,24,1994,15.0,772,966,79.9,14476,5564,10,28,35.7,611,701,87.2,151,237,63.7,0,1.6,-1.6,14,48,13,6,113,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38.0,595,1093,54.4,25708,19289,3,5,60.0,176,182,96.7,416,906,45.9,0,0.0,0.0,0,19,0,0,2,Matches
Ondrej Duda,sk SVK,MF,Norwich City,eng Premier League,24,1994,8.0,298,382,78.0,4770,1184,14,27,51.9,239,271,88.2,45,84,53.6,0,1.0,-1.0,14,17,10,2,37,Matches
Ondrej Duda,sk SVK,"MF,FW",Hertha BSC,de Bundesliga,24,1994,5.0,152,192,79.2,2576,632,4,13,30.8,121,134,90.3,27,45,60.0,1,0.4,+0.6,6,18,4,0,20,Matches
Shane Duffy,ie IRL,DF,Brighton,eng Premier League,27,1992,13.8,515,613,84.0,12117,3501,5,11,45.5,311,349,89.1,199,253,78.7,0,0.0,0.0,1,26,4,0,24,Matches
Haris Duljević,ba BIH,"FW,MF",Nîmes,fr Ligue 1,25,1993,5.8,116,161,72.0,1810,370,4,8,50.0,100,125,80.0,12,28,42.9,3,1.3,+1.7,12,4,8,2,13,Matches
Paul Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,27,1991,13.6,358,502,71.3,6793,3372,3,14,21.4,283,330,85.8,72,158,45.6,0,0.1,-0.1,4,46,4,3,48,Matches
Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,26,1993,8.5,304,365,83.3,5651,1511,9,23,39.1,230,254,90.6,65,88,73.9,1,0.6,+0.4,6,27,16,1,47,Matches
Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,26,1993,9.4,382,469,81.4,6439,1818,4,13,30.8,314,367,85.6,64,89,71.9,5,1.0,+4.0,12,28,14,1,45,Matches
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,27,1991,35.9,1912,2191,87.3,45025,13465,11,22,50.0,1214,1292,94.0,687,877,78.3,3,1.2,+1.8,11,129,5,0,97,Matches
Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,27,1992,5.7,156,245,63.7,2751,1145,5,21,23.8,126,162,77.8,25,62,40.3,0,0.1,-0.1,3,5,4,0,37,Matches
Riza Durmisi,dk DEN,DF,Nice,fr Ligue 1,25,1994,1.8,81,100,81.0,1496,264,1,2,50.0,65,68,95.6,15,30,50.0,0,0.0,0.0,0,0,1,1,8,Matches
Hugo Duro,es ESP,"FW,MF",Getafe,es La Liga,19,1999,4.2,50,84,59.5,593,149,9,13,69.2,38,61,62.3,3,10,30.0,1,0.4,+0.6,3,4,1,0,3,Matches
Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,22,1997,13.1,728,849,85.7,16465,4531,4,13,30.8,459,500,91.8,265,336,78.9,0,0.2,-0.2,2,49,2,0,52,Matches
Paulo Dybala,ar ARG,"FW,MF",Juventus,it Serie A,25,1993,23.9,1274,1528,83.4,21489,5076,35,67,52.2,1018,1139,89.4,221,322,68.6,6,6.9,-0.9,69,95,54,10,151,Matches
Edin Džeko,ba BIH,FW,Roma,it Serie A,33,1986,30.7,538,774,69.5,9999,1926,17,56,30.4,398,543,73.3,123,175,70.3,7,4.7,+2.3,47,58,26,4,68,Matches
Blerim Džemaili,ch SUI,MF,Bologna,it Serie A,33,1986,7.8,286,347,82.4,5708,1508,11,20,55.0,201,233,86.3,74,94,78.7,1,1.3,-0.3,20,34,12,0,38,Matches
Bruno Ecuele Manga,ga GAB,DF,Dijon,fr Ligue 1,31,1988,28.0,1143,1309,87.3,27068,9269,5,16,31.3,699,757,92.3,439,536,81.9,0,0.1,-0.1,4,42,3,0,63,Matches
Simone Edera,it ITA,"MF,FW",Torino,it Serie A,22,1997,4.4,102,130,78.5,1919,500,6,14,42.9,74,90,82.2,22,26,84.6,1,0.4,+0.6,6,6,4,0,15,Matches
Ederson,br BRA,GK,Manchester City,eng Premier League,25,1993,34.1,927,1063,87.2,23484,13255,1,1,100.0,579,584,99.1,347,478,72.6,0,0.1,-0.1,1,11,0,0,0,Matches
John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,26,1992,35.4,1017,1212,83.9,24161,6506,10,20,50.0,603,671,89.9,404,521,77.5,0,0.1,-0.1,1,67,2,0,73,Matches
Johannes Eggestein,de GER,"MF,FW",Werder Bremen,de Bundesliga,21,1998,5.7,145,203,71.4,2061,498,3,18,16.7,131,156,84.0,11,29,37.9,0,0.5,-0.5,6,5,3,0,12,Matches
Maximilian Eggestein,de GER,"MF,DF",Werder Bremen,de Bundesliga,22,1996,31.7,1151,1483,77.6,20371,6443,25,86,29.1,908,1083,83.8,218,314,69.4,3,1.8,+1.2,29,126,36,5,190,Matches
Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,24,1995,25.9,850,1137,74.8,16175,6528,10,45,22.2,634,763,83.1,206,329,62.6,1,1.2,-0.2,17,44,20,9,134,Matches
Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,30,1989,26.5,1012,1161,87.2,18005,4955,32,49,65.3,778,870,89.4,202,242,83.5,2,1.0,+1.0,23,102,22,1,110,Matches
Harvey Elliot,eng ENG,DF,Liverpool,eng Premier League,16,2003,0.1,12,15,80.0,204,79,0,0,,10,11,90.9,2,4,50.0,0,0.0,0.0,0,2,1,1,4,Matches
Elif Elmas,mk MKD,MF,Napoli,it Serie A,19,1999,11.5,576,636,90.6,8501,1554,16,25,64.0,503,543,92.6,57,68,83.8,1,0.8,+0.2,13,30,5,0,26,Matches
Ilay Elmkies,il ISR,MF,Hoffenheim,de Bundesliga,19,2000,0.0,4,4,100.0,37,5,0,0,,4,4,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,Matches
Ahmed Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,31,1987,11.5,484,633,76.5,9323,3709,6,22,27.3,376,430,87.4,102,181,56.4,1,2.5,-1.5,19,42,22,16,78,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,25,1994,16.8,802,935,85.8,17054,4653,2,14,14.3,571,632,90.3,229,289,79.2,1,0.3,+0.7,3,55,3,3,62,Matches
Nico Elvedi,ch SUI,DF,M'gladbach,de Bundesliga,22,1996,29.1,1605,1740,92.2,33611,7652,15,33,45.5,1090,1168,93.3,500,539,92.8,0,0.1,-0.1,1,38,0,0,57,Matches
Rodrigo Ely,br BRA,DF,Alavés,es La Liga,25,1993,23.6,667,839,79.5,16672,5747,4,15,26.7,380,426,89.2,283,398,71.1,0,0.1,-0.1,1,27,0,0,37,Matches
Adri Embarba,es ESP,"MF,FW",Espanyol,es La Liga,27,1992,15.2,246,442,55.7,4591,1268,9,35,25.7,181,243,74.5,56,164,34.1,4,2.1,+1.9,18,17,16,7,40,Matches
Breel Embolo,ch SUI,"FW,MF",M'gladbach,de Bundesliga,22,1997,17.2,294,390,75.4,4508,922,10,34,29.4,249,304,81.9,35,52,67.3,5,4.8,+0.2,20,24,11,1,31,Matches
Emerson,br BRA,DF,Betis,es La Liga,20,1999,31.5,1287,1601,80.4,21598,7374,37,113,32.7,1044,1186,88.0,206,302,68.2,6,4.1,+1.9,30,56,50,21,147,Matches
Renaud Emond,be BEL,"FW,MF",Nantes,fr Ligue 1,27,1991,3.2,53,78,67.9,898,186,1,7,14.3,44,57,77.2,8,14,57.1,0,0.1,-0.1,2,4,0,0,3,Matches
Alan Empereur,br BRA,DF,Hellas Verona,it Serie A,25,1994,9.5,395,466,84.8,7715,3136,7,18,38.9,301,332,90.7,87,116,75.0,0,0.0,0.0,1,28,2,0,26,Matches
Youssef En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,15.4,163,266,61.3,2478,501,8,25,32.0,131,196,66.8,24,45,53.3,2,0.7,+1.3,7,3,10,3,16,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,22,1997,8.8,103,157,65.6,1562,226,2,13,15.4,90,125,72.0,11,19,57.9,0,0.2,-0.2,4,4,1,0,6,Matches
Björn Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,16.1,503,605,83.1,11925,3869,3,7,42.9,300,340,88.2,200,258,77.5,0,0.1,-0.1,1,46,1,1,38,Matches
Sergi Enrich,es ESP,FW,Eibar,es La Liga,29,1990,20.7,377,527,71.5,5236,727,19,46,41.3,320,422,75.8,38,59,64.4,4,1.4,+2.6,8,16,6,0,16,Matches
Javier Eraso,es ESP,"MF,FW",Leganés,es La Liga,29,1990,9.1,215,280,76.8,3355,667,9,18,50.0,177,211,83.9,29,51,56.9,0,0.6,-0.6,8,8,5,3,20,Matches
Christian Eriksen,dk DEN,"MF,FW",Tottenham,eng Premier League,27,1992,12.2,549,743,73.9,10139,2773,7,19,36.8,419,499,84.0,123,225,54.7,2,2.0,0.0,23,58,21,1,76,Matches
Christian Eriksen,dk DEN,MF,Inter,it Serie A,27,1992,7.8,355,468,75.9,6599,1689,12,23,52.2,260,296,87.8,83,149,55.7,2,3.2,-1.2,24,39,7,2,55,Matches
Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,18.6,474,657,72.1,8866,2443,6,30,20.0,365,455,80.2,103,172,59.9,1,0.6,+0.4,8,49,11,2,69,Matches
