player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_passes_total_passes_completed,header_passes_total_passes,header_passes_total_passes_pct,header_passes_total_passes_total_distance,header_passes_total_passes_progressive_distance,header_passes_short_passes_completed_short,header_passes_short_passes_short,header_passes_short_passes_pct_short,header_passes_medium_passes_completed_medium,header_passes_medium_passes_medium,header_passes_medium_passes_pct_medium,header_passes_long_passes_completed_long,header_passes_long_passes_long,header_passes_long_passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Ramy Bensebaini,dz ALG,DF,M'gladbach,de Bundesliga,24,1995,16.1,732,925,79.1,12832,4961,9,42,21.4,603,701,86.0,120,182,65.9,3,2.6,+0.4,13,41,9,4,94,Matches
Nabil Bentaleb,dz ALG,MF,Newcastle Utd,eng Premier League,24,1994,8.3,347,404,85.9,6806,1178,10,18,55.6,262,292,89.7,75,94,79.8,0,0.2,-0.2,8,22,2,1,15,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,22,1997,23.6,1377,1577,87.3,24801,6298,31,73,42.5,1079,1172,92.1,267,332,80.4,7,3.4,+3.6,41,142,15,3,118,Matches
Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,28,1990,14.0,190,326,58.3,2802,720,11,25,44.0,157,261,60.2,22,40,55.0,1,2.3,-1.3,17,14,11,2,34,Matches
Romario Benzar,ro ROU,DF,Lecce,it Serie A,27,1992,1.1,50,69,72.5,806,477,1,2,50.0,41,48,85.4,8,19,42.1,0,0.1,-0.1,2,3,4,3,10,Matches
Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,31,1987,34.9,1119,1329,84.2,16894,3022,47,93,50.5,930,1057,88.0,142,179,79.3,8,8.3,-0.3,61,71,58,1,111,Matches
Yassine Benzia,dz ALG,MF,Dijon,fr Ligue 1,24,1994,1.9,60,81,74.1,988,233,0,2,0.0,47,57,82.5,13,22,59.1,0,0.5,-0.5,4,7,1,0,4,Matches
Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,24,1994,25.8,816,1108,73.6,14816,4271,13,48,27.1,630,763,82.6,173,297,58.2,7,6.0,+1.0,46,49,48,5,136,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,29,1990,31.7,1351,1695,79.7,25057,10064,20,75,26.7,1067,1236,86.3,264,384,68.8,1,2.7,-1.7,27,112,37,18,250,Matches
Álex Berenguer,es ESP,"MF,FW",Torino,it Serie A,24,1995,18.4,524,709,73.9,8702,2463,22,49,44.9,413,487,84.8,89,173,51.4,2,3.3,-1.3,31,37,23,4,81,Matches
