player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_tackles_tackles,header_tackles_tackles_won,header_tackles_tackles_def_3rd,header_tackles_tackles_mid_3rd,header_tackles_tackles_att_3rd,header_dribbles_def_dribble_tackles,header_dribbles_def_dribbles_vs,header_dribbles_def_dribble_tackles_pct,header_dribbles_def_dribbled_past,header_pressures_pressures,header_pressures_pressure_regains,header_pressures_pressure_regain_pct,header_pressures_pressures_def_3rd,header_pressures_pressures_mid_3rd,header_pressures_pressures_att_3rd,header_blocks_blocks,header_blocks_blocked_shots,header_blocks_blocked_shots_saves,header_blocks_blocked_passes,interceptions,clearances,errors,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,51,32,33,16,2,22,54,40.7,32,267,74,27.7,159,71,37,57,13,1,44,46,67,3,Matches
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,64,36,40,17,7,21,45,46.7,24,485,132,27.2,281,142,62,100,30,2,70,35,86,0,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,61,37,43,16,2,14,28,50.0,14,299,111,37.1,189,97,13,43,19,0,24,49,166,1,Matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,1,1,1,0,0,1,3,33.3,2,25,9,36.0,9,11,5,3,1,0,2,1,2,0,Matches
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,60,41,24,34,2,24,62,38.7,38,417,114,27.3,121,233,63,18,3,0,15,22,22,0,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,10,8,3,5,2,3,11,27.3,8,181,53,29.3,5,86,90,1,0,0,1,3,5,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,30,22,18,10,2,16,34,47.1,18,200,75,37.5,109,78,13,31,14,1,17,23,87,1,Matches
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,14,10,4,5,5,4,16,25.0,12,429,130,30.3,19,169,241,23,5,0,18,5,26,0,Matches
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,23,13,11,11,1,7,17,41.2,10,164,42,25.6,67,83,14,19,3,0,16,7,15,1,Matches
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,33.5,50,31,34,10,6,13,26,50.0,13,311,112,36.0,207,79,25,60,30,0,30,41,163,2,Matches
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,8,6,2,4,2,0,5,0.0,5,231,58,25.1,9,97,125,10,1,0,9,2,10,0,Matches
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,23,12,13,8,2,9,30,30.0,21,194,60,30.9,79,88,27,22,1,0,21,13,16,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,10,4,2,5,3,4,24,16.7,20,209,45,21.5,33,93,83,5,1,0,4,2,5,0,Matches
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.0,4,3,0,4,0,1,5,20.0,4,56,9,16.1,4,36,16,0,0,0,0,3,1,0,Matches
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,5,3,2,2,1,0,2,0.0,2,50,12,24.0,28,11,11,5,3,0,2,4,9,0,Matches
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,0,0,0,0,0,0,3,0.0,3,17,4,23.5,6,10,1,0,0,0,0,1,0,0,Matches
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,27,18,6,15,6,10,32,31.3,22,326,84,25.8,71,165,90,12,0,0,12,7,5,0,Matches
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,Matches
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,1,1,0,1,0,0,0,,0,16,4,25.0,4,5,7,0,0,0,0,0,3,0,Matches
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,35,23,24,8,3,18,35,51.4,17,225,66,29.3,129,70,26,37,1,0,36,25,62,0,Matches
